1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Washington,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Golden State
12:00.0,Jump ball: A. Sarr vs. K. PorziÅÄ£is (B. Carrington gains possession),Jump ball: A. Sarr vs. K. PorziÅÄ£is (B. Carrington gains possession),Jump ball: A. Sarr vs. K. PorziÅÄ£is (B. Carrington gains possession),Jump ball: A. Sarr vs. K. PorziÅÄ£is (B. Carrington gains possession),Jump ball: A. Sarr vs. K. PorziÅÄ£is (B. Carrington gains possession)
6:06.0,,,40-52,,K. PorziÅÄ£is misses 3-pt jump shot from 27 ft
6:04.0,Defensive rebound by J. Watkins,,40-52,,
5:58.0,W. Riley misses 3-pt jump shot from 26 ft,,40-52,,
5:56.0,,,40-52,,Defensive rebound by K. PorziÅÄ£is
5:52.0,,,40-52,,Turnover by P. Spencer (bad pass)
5:52.0,B. Coulibaly enters the game for J. Watkins,,40-52,,
5:47.0,Personal foul by W. Richard (drawn by T. Johnson),,40-52,,
5:33.0,W. Riley makes 3-pt jump shot from 23 ft (assist by A. Sarr),+3,43-52,,
5:16.0,,,43-52,,Shooting foul by W. Riley (drawn by B. Podziemski)
5:16.0,,,43-53,+1,B. Podziemski makes free throw 1 of 2
5:16.0,,,43-53,,G. Santos enters the game for P. Spencer
5:16.0,,,43-54,+1,B. Podziemski makes free throw 2 of 2
5:03.0,A. Sarr makes 3-pt jump shot from 27 ft (assist by B. Coulibaly),+3,46-54,,
4:47.0,,,46-57,+3,B. Podziemski makes 3-pt jump shot from 27 ft (assist by W. Richard)
4:32.0,B. Coulibaly makes 2-pt jump shot from 11 ft,+2,48-57,,
4:27.0,,,48-57,,Golden State full timeout
4:27.0,B. Carrington enters the game for W. Riley,,48-57,,
4:27.0,,,48-57,,L. Cryer enters the game for M. Leons
4:27.0,,,48-57,,G. Payton enters the game for W. Richard
4:21.0,,,48-60,+3,L. Cryer makes 3-pt jump shot from 26 ft (assist by B. Podziemski)
4:05.0,B. Coulibaly makes 2-pt jump shot from 9 ft (assist by A. Sarr),+2,50-60,,
3:51.0,,,50-62,+2,B. Podziemski makes 2-pt layup from 4 ft
3:36.0,A. Sarr misses 2-pt hook shot from 2 ft,,50-62,,
3:35.0,,,50-62,,Defensive rebound by G. Payton
3:29.0,,,50-65,+3,L. Cryer makes 3-pt jump shot from 24 ft (assist by B. Podziemski)
3:11.0,T. Johnson makes 2-pt jump shot from 11 ft (assist by B. Carrington),+2,52-65,,
2:58.0,Violation by Team (kicked ball),,52-65,,
2:58.0,,,52-65,,D. Green enters the game for K. PorziÅÄ£is
2:58.0,,,52-65,,W. Richard enters the game for G. Santos
2:45.0,,,52-65,,L. Cryer misses 2-pt jump shot from 11 ft
2:42.0,,,52-65,,Offensive rebound by G. Payton
2:42.0,,,52-65,,G. Payton misses 2-pt layup from 1 ft
2:39.0,Defensive rebound by A. Sarr,,52-65,,
2:35.0,Turnover by B. Carrington (lost ball; steal by G. Payton),,52-65,,
2:31.0,,,52-67,+2,G. Payton makes 2-pt dunk from 1 ft (assist by B. Podziemski)
2:20.0,Washington full timeout,,52-67,,
2:13.0,T. Johnson makes 2-pt jump shot from 8 ft (assist by B. Carrington),+2,54-67,,
1:51.0,,,54-67,,L. Cryer misses 3-pt jump shot from 28 ft
1:48.0,Defensive rebound by L. Black,,54-67,,
1:37.0,Turnover by B. Carrington (lost ball; steal by D. Green),,54-67,,
1:33.0,,,54-69,+2,G. Payton makes 2-pt layup from 1 ft (assist by D. Green)
1:33.0,,,54-69,,Shooting foul by T. Johnson (drawn by G. Payton)
1:33.0,,,54-69,,K. PorziÅÄ£is enters the game for B. Podziemski
1:33.0,,,54-69,,G. Payton misses free throw 1 of 1
1:29.0,Defensive rebound by B. Coulibaly,,54-69,,
1:25.0,T. Johnson misses 3-pt jump shot from 30 ft,,54-69,,
1:21.0,Offensive rebound by L. Black,,54-69,,
1:20.0,B. Coulibaly makes 3-pt jump shot from 27 ft (assist by L. Black),+3,57-69,,
1:01.0,,,57-69,,D. Green misses 3-pt jump shot from 26 ft
0:57.0,Defensive rebound by B. Carrington,,57-69,,
0:46.0,T. Johnson misses 3-pt jump shot from 28 ft,,57-69,,
0:41.0,Offensive rebound by A. Sarr,,57-69,,
0:41.0,A. Sarr misses 2-pt layup from 6 ft (block by D. Green),,57-69,,
0:39.0,,,57-69,,Defensive rebound by L. Cryer
0:35.0,,,57-69,,Personal foul by B. Carrington (drawn by K. PorziÅÄ£is)
0:35.0,,,57-69,,K. PorziÅÄ£is misses free throw 1 of 2
0:35.0,,,57-69,,Offensive rebound by Team
0:35.0,,,57-70,+1,K. PorziÅÄ£is makes free throw 2 of 2
0:21.0,B. Coulibaly makes 3-pt jump shot from 25 ft,+3,60-70,,
0:05.0,,,60-72,+2,D. Green makes 2-pt layup from 2 ft
0:02.0,B. Coulibaly misses 3-pt jump shot from 30 ft,,60-72,,
0:00.0,Offensive rebound by Team,,60-72,,
0:00.0,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter
3rd Q,3rd Q,3rd Q,3rd Q,3rd Q,3rd Q
Time,Washington,,Score,,Golden State
12:00.0,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter
11:36.0,,,60-72,,Shooting foul by A. Sarr (drawn by B. Podziemski)
11:36.0,,,60-73,+1,B. Podziemski makes free throw 1 of 2
11:36.0,,,60-73,,B. Podziemski misses free throw 2 of 2
11:34.0,Defensive rebound by B. Coulibaly,,60-73,,
11:14.0,B. Coulibaly makes 2-pt jump shot from 6 ft,+2,62-73,,
11:01.0,,,62-73,,W. Richard misses 3-pt jump shot from 24 ft
10:59.0,Defensive rebound by A. Sarr,,62-73,,
10:55.0,B. Coulibaly makes 3-pt jump shot from 26 ft (assist by A. Sarr),+3,65-73,,
10:42.0,,,65-76,+3,K. PorziÅÄ£is makes 3-pt jump shot from 27 ft (assist by W. Richard)
10:31.0,L. Black misses 3-pt jump shot from 27 ft,,65-76,,
10:27.0,,,65-76,,Defensive rebound by B. Podziemski
10:11.0,,,65-76,,K. PorziÅÄ£is misses 3-pt jump shot from 28 ft
10:06.0,Defensive rebound by B. Coulibaly,,65-76,,
10:00.0,B. Coulibaly makes 2-pt jump shot from 2 ft,+2,67-76,,
9:46.0,,,67-76,,G. Santos misses 2-pt hook shot from 3 ft (block by B. Coulibaly)
9:44.0,Defensive rebound by L. Black,,67-76,,
9:37.0,B. Coulibaly makes 3-pt jump shot from 27 ft (assist by L. Black),+3,70-76,,
9:23.0,,,70-76,,K. PorziÅÄ£is misses 3-pt jump shot from 31 ft
9:19.0,Defensive rebound by T. Johnson,,70-76,,
9:06.0,T. Johnson makes 3-pt jump shot from 28 ft (assist by B. Carrington),+3,73-76,,
9:04.0,,,73-76,,Golden State full timeout
9:04.0,,,73-76,,L. Cryer enters the game for G. Santos
8:53.0,,,73-76,,L. Cryer misses 3-pt jump shot from 28 ft
8:49.0,Defensive rebound by A. Sarr,,73-76,,
8:39.0,Personal foul by B. Podziemski (drawn by B. Carrington),,73-76,,
8:33.0,A. Sarr misses 2-pt jump shot from 2 ft,,73-76,,
8:30.0,,,73-76,,Defensive rebound by B. Podziemski
8:25.0,,,73-76,,Personal foul by L. Black (drawn by K. PorziÅÄ£is)
