1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Sacramento,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Atlanta
12:00.0,Jump ball: M. Raynaud vs. J. Landale (N. Alexander-Walker gains possession),Jump ball: M. Raynaud vs. J. Landale (N. Alexander-Walker gains possession),Jump ball: M. Raynaud vs. J. Landale (N. Alexander-Walker gains possession),Jump ball: M. Raynaud vs. J. Landale (N. Alexander-Walker gains possession),Jump ball: M. Raynaud vs. J. Landale (N. Alexander-Walker gains possession)
7:55.0,,,40-33,,Offensive foul by J. Landale (drawn by D. Jeffries)
7:55.0,,,40-33,,Turnover by J. Landale (offensive foul)
7:43.0,Turnover by D. Carter (lost ball; steal by N. Alexander-Walker),,40-33,,
7:39.0,,,40-33,,Z. Risacher misses 2-pt dunk at rim
7:38.0,Defensive rebound by Team,,40-33,,
7:21.0,D. DeRozan misses 2-pt layup from 1 ft,,40-33,,
7:18.0,,,40-33,,Defensive rebound by J. Landale
7:15.0,,,40-33,,Z. Risacher misses 3-pt jump shot from 25 ft
7:12.0,,,40-33,,Offensive rebound by J. Landale
7:12.0,,,40-35,+2,J. Landale makes 2-pt layup at rim
7:12.0,Sacramento full timeout,,40-35,,
7:12.0,M. Monk enters the game for D. Jeffries,,40-35,,
7:12.0,M. Raynaud enters the game for D. Plowden,,40-35,,
7:12.0,,,40-35,,M. Gueye enters the game for Z. Risacher
6:56.0,D. DeRozan makes 2-pt jump shot from 11 ft,+2,42-35,,
6:48.0,,,42-35,,Shooting foul by D. DeRozan (drawn by N. Alexander-Walker)
6:48.0,Technical foul by D. DeRozan,,42-35,,
6:48.0,,,42-36,+1,N. Alexander-Walker makes technical free throw
6:48.0,,,42-37,+1,N. Alexander-Walker makes free throw 1 of 2
6:48.0,,,42-38,+1,N. Alexander-Walker makes free throw 2 of 2
6:35.0,Shooting foul by M. Gueye (drawn by D. DeRozan),,42-38,,
6:35.0,D. DeRozan makes free throw 1 of 2,+1,43-38,,
6:35.0,D. DeRozan makes free throw 2 of 2,+1,44-38,,
6:24.0,,,44-40,+2,J. Johnson makes 2-pt layup from 2 ft (assist by J. Landale)
6:07.0,M. Monk makes 2-pt jump shot from 15 ft,+2,46-40,,
5:54.0,,,46-42,+2,C. Kispert makes 2-pt layup from 2 ft (assist by N. Alexander-Walker)
5:31.0,P. Achiuwa misses 2-pt jump shot from 15 ft,,46-42,,
5:30.0,,,46-42,,Defensive rebound by Team
5:30.0,Loose ball foul by D. Carter (drawn by J. Johnson),,46-42,,
5:30.0,N. Clifford enters the game for D. Carter,,46-42,,
5:20.0,,,46-42,,Shooting foul by M. Monk (drawn by N. Alexander-Walker)
5:20.0,,,46-43,+1,N. Alexander-Walker makes free throw 1 of 2
5:20.0,,,46-44,+1,N. Alexander-Walker makes free throw 2 of 2
5:10.0,D. DeRozan makes 2-pt layup at rim (assist by M. Monk),+2,48-44,,
5:10.0,Shooting foul by M. Gueye (drawn by D. DeRozan),,48-44,,
5:10.0,,,48-44,,C. McCollum enters the game for C. Kispert
5:10.0,D. DeRozan makes free throw 1 of 1,+1,49-44,,
4:54.0,,,49-46,+2,J. Landale makes 2-pt layup from 1 ft (assist by N. Alexander-Walker)
4:38.0,N. Clifford misses 3-pt jump shot from 25 ft,,49-46,,
4:36.0,Offensive rebound by P. Achiuwa,,49-46,,
4:34.0,P. Achiuwa misses 2-pt jump shot from 5 ft,,49-46,,
4:34.0,,,49-46,,Defensive rebound by M. Gueye
4:26.0,,,49-46,,J. Johnson misses 3-pt jump shot from 25 ft
4:25.0,,,49-46,,Offensive rebound by Team
4:25.0,Loose ball foul by M. Raynaud (drawn by J. Landale),,49-46,,
4:25.0,D. Cardwell enters the game for P. Achiuwa,,49-46,,
4:25.0,D. Plowden enters the game for D. DeRozan,,49-46,,
4:12.0,,,49-46,,Shooting foul by M. Monk (drawn by N. Alexander-Walker)
4:12.0,,,49-46,,Instant Replay (Request: Ruling Stands)
4:12.0,,,49-47,+1,N. Alexander-Walker makes free throw 1 of 3
4:12.0,,,49-48,+1,N. Alexander-Walker makes free throw 2 of 3
4:12.0,,,49-49,+1,N. Alexander-Walker makes free throw 3 of 3
3:56.0,M. Monk makes 2-pt hook shot from 5 ft (assist by D. Cardwell),+2,51-49,,
3:44.0,,,51-51,+2,J. Landale makes 2-pt layup from 1 ft (assist by J. Johnson)
3:24.0,Turnover by D. Cardwell (lost ball; steal by N. Alexander-Walker),,51-51,,
3:08.0,,,51-53,+2,C. McCollum makes 2-pt jump shot from 20 ft
2:52.0,M. Monk misses 2-pt jump shot from 6 ft,,51-53,,
2:49.0,,,51-53,,Defensive rebound by J. Johnson
2:45.0,,,51-56,+3,N. Alexander-Walker makes 3-pt jump shot from 23 ft (assist by J. Johnson)
2:44.0,Sacramento full timeout,,51-56,,
2:44.0,D. DeRozan enters the game for M. Monk,,51-56,,
2:30.0,Turnover by D. DeRozan (bad pass; steal by J. Johnson),,51-56,,
2:25.0,,,51-58,+2,J. Johnson makes 2-pt layup from 2 ft
2:06.0,M. Raynaud misses 2-pt layup from 1 ft (block by J. Landale),,51-58,,
2:03.0,,,51-58,,Defensive rebound by C. McCollum
2:01.0,,,51-61,+3,N. Alexander-Walker makes 3-pt jump shot from 23 ft (assist by J. Johnson)
1:46.0,N. Clifford misses 3-pt jump shot from 23 ft,,51-61,,
1:42.0,,,51-61,,Defensive rebound by J. Landale
1:38.0,,,51-63,+2,M. Gueye makes 2-pt dunk at rim (assist by N. Alexander-Walker)
1:17.0,M. Raynaud makes 3-pt jump shot from 25 ft (assist by D. DeRozan),+3,54-63,,
1:05.0,,,54-63,,Shooting foul by D. Plowden (drawn by J. Landale)
1:05.0,,,54-63,,J. Landale misses free throw 1 of 2
1:05.0,,,54-63,,Offensive rebound by Team
1:05.0,D. Jeffries enters the game for D. Cardwell,,54-63,,
1:05.0,,,54-64,+1,J. Landale makes free throw 2 of 2
0:50.0,D. DeRozan misses 2-pt jump shot from 17 ft,,54-64,,
0:45.0,Offensive rebound by D. Jeffries,,54-64,,
0:43.0,Turnover by N. Clifford (bad pass; steal by C. McCollum),,54-64,,
0:34.0,,,54-64,,J. Landale misses 2-pt hook shot from 1 ft
0:32.0,Defensive rebound by D. Plowden,,54-64,,
