1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Utah,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Denver
12:00.0,Jump ball: K. Filipowski vs. N. JokiÄ (A. Gordon gains possession),Jump ball: K. Filipowski vs. N. JokiÄ (A. Gordon gains possession),Jump ball: K. Filipowski vs. N. JokiÄ (A. Gordon gains possession),Jump ball: K. Filipowski vs. N. JokiÄ (A. Gordon gains possession),Jump ball: K. Filipowski vs. N. JokiÄ (A. Gordon gains possession)
3:41.0,Defensive rebound by O. Tshiebwe,,91-82,,
3:36.0,C. Williams makes 2-pt layup from 2 ft,+2,93-82,,
3:36.0,Shooting foul by S. Jones (drawn by C. Williams),,93-82,,
3:36.0,C. Williams misses free throw 1 of 1,,93-82,,
3:33.0,,,93-82,,Defensive rebound by P. Watson
3:23.0,,,93-82,,Turnover by P. Watson (lost ball; steal by B. Mbeng)
3:18.0,C. Williams misses 2-pt layup from 2 ft,,93-82,,
3:17.0,Offensive rebound by O. Tshiebwe,,93-82,,
3:17.0,O. Tshiebwe makes 2-pt layup from 1 ft,+2,95-82,,
3:17.0,Shooting foul by S. Jones (drawn by O. Tshiebwe),,95-82,,
3:17.0,,,95-82,,B. Brown enters the game for J. Murray
3:17.0,O. Tshiebwe makes free throw 1 of 1,+1,96-82,,
2:55.0,,,96-84,+2,B. Brown makes 2-pt layup from 2 ft
2:40.0,Turnover by C. Williams (bad pass),,96-84,,
2:40.0,E. Harkless enters the game for O. Tshiebwe,,96-84,,
2:27.0,,,96-84,,Shooting foul by B. Mbeng (drawn by T. Hardaway)
2:27.0,,,96-85,+1,T. Hardaway makes free throw 1 of 3
2:27.0,,,96-86,+1,T. Hardaway makes free throw 2 of 3
2:27.0,,,96-87,+1,T. Hardaway makes free throw 3 of 3
2:16.0,C. Williams misses 2-pt layup from 4 ft,,96-87,,
2:15.0,,,96-87,,Defensive rebound by P. Watson
2:11.0,,,96-90,+3,T. Hardaway makes 3-pt jump shot from 26 ft (assist by N. JokiÄ)
1:55.0,C. Williams makes 2-pt dunk from 1 ft (assist by K. Chandler),+2,98-90,,
1:33.0,,,98-93,+3,P. Watson makes 3-pt jump shot from 24 ft (assist by B. Brown)
1:19.0,E. Harkless misses 3-pt jump shot from 26 ft,,98-93,,
1:16.0,,,98-93,,Defensive rebound by S. Jones
1:09.0,,,98-93,,Turnover by P. Watson (bad pass; steal by B. Mbeng)
1:05.0,B. Mbeng misses 2-pt layup from 1 ft (block by P. Watson),,98-93,,
1:04.0,Offensive rebound by J. Konchar,,98-93,,
1:03.0,J. Konchar makes 2-pt layup from 1 ft,+2,100-93,,
0:49.0,,,100-95,+2,N. JokiÄ makes 2-pt hook shot from 6 ft (assist by P. Watson)
0:31.0,K. Chandler makes 3-pt jump shot from 25 ft (assist by C. Williams),+3,103-95,,
0:15.0,,,103-95,,Turnover by N. JokiÄ (bad pass)
0:08.0,Personal foul by P. Watson (drawn by C. Williams),,103-95,,
0:06.0,Personal foul by T. Hardaway (drawn by C. Williams),,103-95,,
0:06.0,C. Williams makes free throw 1 of 2,+1,104-95,,
0:06.0,,,104-95,,J. Murray enters the game for S. Jones
0:06.0,C. Williams makes free throw 2 of 2,+1,105-95,,
0:00.0,,,105-98,+3,N. JokiÄ makes 3-pt jump shot from 40 ft (assist by J. Murray)
0:00.0,End of 3rd quarter,End of 3rd quarter,End of 3rd quarter,End of 3rd quarter,End of 3rd quarter
4th Q,4th Q,4th Q,4th Q,4th Q,4th Q
Time,Utah,,Score,,Denver
12:00.0,Start of 4th quarter,Start of 4th quarter,Start of 4th quarter,Start of 4th quarter,Start of 4th quarter
11:47.0,,,105-98,,T. Hardaway misses 3-pt jump shot from 24 ft
11:45.0,Defensive rebound by J. Konchar,,105-98,,
11:23.0,B. Mbeng misses 2-pt layup from 2 ft,,105-98,,
11:20.0,,,105-98,,Defensive rebound by S. Jones
11:08.0,,,105-98,,P. Watson misses 2-pt layup from 4 ft
11:07.0,,,105-98,,Offensive rebound by S. Jones
