1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Detroit,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Minnesota
12:00.0,Jump ball: J. Duren vs. R. Gobert (D. Jenkins gains possession),Jump ball: J. Duren vs. R. Gobert (D. Jenkins gains possession),Jump ball: J. Duren vs. R. Gobert (D. Jenkins gains possession),Jump ball: J. Duren vs. R. Gobert (D. Jenkins gains possession),Jump ball: J. Duren vs. R. Gobert (D. Jenkins gains possession)
1:18.0,,,72-59,,T. Shannon misses free throw 1 of 2
1:18.0,,,72-59,,Offensive rebound by Team
1:18.0,,,72-60,+1,T. Shannon makes free throw 2 of 2
0:58.0,P. Reed misses 2-pt layup from 1 ft,,72-60,,
0:56.0,,,72-60,,Defensive rebound by T. Shannon
0:46.0,,,72-60,,J. Randle misses 2-pt layup from 2 ft (block by R. Holland)
0:43.0,Defensive rebound by P. Reed,,72-60,,
0:39.0,Turnover by C. LeVert (lost ball; steal by K. Anderson),,72-60,,
0:34.0,,,72-60,,B. Hyland misses 3-pt jump shot from 25 ft
0:31.0,Defensive rebound by P. Reed,,72-60,,
0:10.0,C. LeVert makes 2-pt jump shot from 15 ft,+2,74-60,,
0:00.0,,,74-60,,N. Reid misses 3-pt jump shot from 29 ft
0:00.0,,,74-60,,Offensive rebound by Team
0:00.0,End of 3rd quarter,End of 3rd quarter,End of 3rd quarter,End of 3rd quarter,End of 3rd quarter
4th Q,4th Q,4th Q,4th Q,4th Q,4th Q
Time,Detroit,,Score,,Minnesota
12:00.0,Start of 4th quarter,Start of 4th quarter,Start of 4th quarter,Start of 4th quarter,Start of 4th quarter
11:35.0,R. Holland makes 3-pt jump shot from 25 ft (assist by C. LeVert),+3,77-60,,
11:10.0,,,77-60,,Shooting foul by J. Green (drawn by N. Reid)
11:10.0,,,77-61,+1,N. Reid makes free throw 1 of 2
11:10.0,,,77-62,+1,N. Reid makes free throw 2 of 2
10:58.0,P. Reed makes 2-pt dunk from 1 ft (assist by K. Huerter),+2,79-62,,
10:48.0,,,79-62,,B. Hyland misses 2-pt layup from 2 ft
10:46.0,,,79-62,,Offensive rebound by R. Gobert
10:46.0,,,79-64,+2,R. Gobert makes 2-pt layup at rim
10:31.0,P. Reed misses 2-pt jump shot from 8 ft,,79-64,,
10:28.0,,,79-64,,Defensive rebound by N. Reid
10:21.0,,,79-64,,D. DiVincenzo misses 3-pt jump shot from 29 ft
10:21.0,Defensive rebound by J. Green,,79-64,,
9:59.0,K. Huerter makes 2-pt layup from 1 ft (assist by P. Reed),+2,81-64,,
9:44.0,,,81-67,+3,B. Hyland makes 3-pt jump shot from 27 ft
9:28.0,C. LeVert misses 2-pt jump shot from 7 ft,,81-67,,
9:26.0,,,81-67,,Defensive rebound by R. Gobert
9:22.0,,,81-67,,B. Hyland misses 3-pt jump shot from 25 ft
9:19.0,Defensive rebound by J. Green,,81-67,,
9:18.0,,,81-67,,Violation by Team (kicked ball)
9:18.0,J. Duren enters the game for P. Reed,,81-67,,
9:18.0,,,81-67,,M. Conley enters the game for D. DiVincenzo
9:07.0,J. Duren makes 2-pt dunk from 1 ft,+2,83-67,,
8:53.0,,,83-69,+2,J. Clark makes 2-pt layup from 2 ft (assist by N. Reid)
8:39.0,R. Holland misses 2-pt jump shot from 15 ft,,83-69,,
8:36.0,,,83-69,,Defensive rebound by R. Gobert
