1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Boston,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Charlotte
12:00.0,Jump ball: N. Queta vs. M. DiabatÃ© (J. Walsh gains possession),Jump ball: N. Queta vs. M. DiabatÃ© (J. Walsh gains possession),Jump ball: N. Queta vs. M. DiabatÃ© (J. Walsh gains possession),Jump ball: N. Queta vs. M. DiabatÃ© (J. Walsh gains possession),Jump ball: N. Queta vs. M. DiabatÃ© (J. Walsh gains possession)
7:06.0,,,46-31,+1,K. Knueppel makes free throw 2 of 2
6:44.0,P. Pritchard makes 2-pt jump shot from 15 ft,+2,48-31,,
6:26.0,,,48-34,+3,B. Miller makes 3-pt jump shot from 27 ft
6:02.0,P. Pritchard makes 2-pt jump shot from 6 ft,+2,50-34,,
5:45.0,,,50-34,,Offensive foul by M. Bridges (drawn by B. Scheierman)
5:45.0,,,50-34,,Turnover by M. Bridges (offensive foul)
5:45.0,,,50-34,,L. Ball enters the game for S. James
5:31.0,S. Hauser makes 3-pt jump shot from 26 ft (assist by P. Pritchard),+3,53-34,,
5:22.0,,,53-36,+2,K. Knueppel makes 2-pt jump shot from 9 ft
5:22.0,,,53-36,,Shooting foul by P. Pritchard (drawn by K. Knueppel)
5:22.0,,,53-36,,C. White enters the game for B. Miller
5:22.0,,,53-36,,K. Knueppel misses free throw 1 of 1
5:19.0,Defensive rebound by L. Garza,,53-36,,
5:02.0,P. Pritchard makes 2-pt jump shot from 10 ft,+2,55-36,,
4:44.0,,,55-38,+2,M. DiabatÃ© makes 2-pt dunk from 2 ft (assist by L. Ball)
4:25.0,Offensive foul by P. Pritchard (drawn by L. Ball),,55-38,,
4:25.0,Turnover by P. Pritchard (offensive foul),,55-38,,
4:25.0,N. Queta enters the game for L. Garza,,55-38,,
4:25.0,J. Tatum enters the game for B. Scheierman,,55-38,,
4:25.0,,,55-38,,R. Kalkbrenner enters the game for M. DiabatÃ©
4:10.0,,,55-38,,Shooting foul by S. Hauser (drawn by M. Bridges)
4:10.0,,,55-39,+1,M. Bridges makes free throw 1 of 2
4:10.0,,,55-39,,J. Green enters the game for C. White
4:10.0,,,55-40,+1,M. Bridges makes free throw 2 of 2
3:56.0,Shooting foul by M. Bridges (drawn by J. Tatum),,55-40,,
3:56.0,J. Tatum makes free throw 1 of 2,+1,56-40,,
3:56.0,,,56-40,,C. White enters the game for M. Bridges
3:56.0,J. Tatum makes free throw 2 of 2,+1,57-40,,
3:47.0,,,57-40,,L. Ball misses 3-pt jump shot from 28 ft
3:45.0,,,57-40,,Offensive rebound by C. White
3:44.0,,,57-40,,C. White misses 3-pt jump shot from 26 ft
3:42.0,Defensive rebound by Team,,57-40,,
3:42.0,,,57-40,,Loose ball foul by R. Kalkbrenner (drawn by P. Pritchard)
3:42.0,P. Pritchard makes free throw 1 of 2,+1,58-40,,
3:42.0,P. Pritchard makes free throw 2 of 2,+1,59-40,,
3:29.0,,,59-40,,C. White misses 2-pt layup from 6 ft
3:27.0,,,59-40,,Offensive rebound by R. Kalkbrenner
3:26.0,,,59-42,+2,R. Kalkbrenner makes 2-pt layup from 3 ft
3:17.0,J. Tatum misses 2-pt jump shot from 14 ft,,59-42,,
3:14.0,Offensive rebound by J. Walsh,,59-42,,
3:07.0,N. Queta misses 2-pt jump shot from 6 ft,,59-42,,
3:06.0,,,59-42,,Defensive rebound by Team
2:52.0,,,59-42,,Turnover by C. White (traveling)
2:52.0,Boston full timeout,,59-42,,
2:52.0,,,59-42,,S. James enters the game for K. Knueppel
2:39.0,J. Tatum misses 2-pt jump shot from 17 ft,,59-42,,
2:36.0,,,59-42,,Defensive rebound by L. Ball
2:29.0,,,59-44,+2,L. Ball makes 2-pt jump shot from 19 ft
2:04.0,P. Pritchard misses 2-pt jump shot from 8 ft (block by R. Kalkbrenner),,59-44,,
2:02.0,Offensive rebound by P. Pritchard,,59-44,,
2:02.0,Turnover by Team (shot clock),,59-44,,
1:50.0,,,59-47,+3,L. Ball makes 3-pt jump shot from 28 ft
1:28.0,J. Tatum makes 2-pt layup from 4 ft,+2,61-47,,
1:21.0,,,61-47,,Personal foul by J. Walsh (drawn by L. Ball)
1:21.0,,,61-48,+1,L. Ball makes free throw 1 of 2
1:21.0,,,61-48,,M. DiabatÃ© enters the game for R. Kalkbrenner
1:21.0,,,61-49,+1,L. Ball makes free throw 2 of 2
1:16.0,Personal foul by L. Ball (drawn by S. Hauser),,61-49,,
1:16.0,S. Hauser misses free throw 1 of 2,,61-49,,
1:16.0,Offensive rebound by Team,,61-49,,
1:16.0,S. Hauser makes free throw 2 of 2,+1,62-49,,
1:09.0,,,62-49,,L. Ball misses 3-pt jump shot from 28 ft
1:06.0,,,62-49,,Offensive rebound by M. DiabatÃ©
1:00.0,,,62-49,,Turnover by L. Ball (bad pass; steal by N. Queta)
0:48.0,J. Tatum misses 2-pt jump shot from 13 ft,,62-49,,
0:47.0,Offensive rebound by Team,,62-49,,
0:47.0,,,62-49,,Loose ball foul by L. Ball (drawn by N. Queta)
0:47.0,N. Queta misses free throw 1 of 2,,62-49,,
0:47.0,Offensive rebound by Team,,62-49,,
0:47.0,,,62-49,,B. Miller enters the game for L. Ball
0:47.0,N. Queta makes free throw 2 of 2,+1,63-49,,
0:29.0,,,63-49,,B. Miller misses 3-pt jump shot from 27 ft
0:26.0,,,63-49,,Offensive rebound by M. DiabatÃ©
0:13.0,,,63-49,,C. White misses 3-pt jump shot from 28 ft
0:09.0,Defensive rebound by J. Walsh,,63-49,,
0:00.0,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter
3rd Q,3rd Q,3rd Q,3rd Q,3rd Q,3rd Q
Time,Boston,,Score,,Charlotte
12:00.0,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter
11:37.0,,,63-49,,K. Knueppel misses 2-pt jump shot from 15 ft (block by J. Tatum)
11:34.0,Defensive rebound by J. Walsh,,63-49,,
11:24.0,N. Queta makes 2-pt layup from 3 ft (assist by J. Tatum),+2,65-49,,
11:15.0,,,65-49,,L. Ball misses 3-pt jump shot from 27 ft
11:12.0,Defensive rebound by J. Tatum,,65-49,,
10:49.0,P. Pritchard makes 2-pt jump shot from 9 ft (assist by J. Tatum),+2,67-49,,
10:36.0,,,67-51,+2,M. Bridges makes 2-pt hook shot from 7 ft
10:19.0,N. Queta misses 2-pt layup from 3 ft,,67-51,,
10:16.0,,,67-51,,Defensive rebound by L. Ball
10:08.0,,,67-51,,K. Knueppel misses 3-pt jump shot from 23 ft
10:04.0,Defensive rebound by J. Tatum,,67-51,,
9:45.0,P. Pritchard makes 2-pt layup from 3 ft (assist by J. Tatum),+2,69-51,,
9:22.0,,,69-53,+2,M. Bridges makes 2-pt jump shot from 7 ft (assist by K. Knueppel)
9:22.0,Violation by Team (def goaltending),,69-53,,
9:09.0,N. Queta misses 2-pt layup from 4 ft,,69-53,,
9:07.0,Offensive rebound by N. Queta,,69-53,,
9:04.0,P. Pritchard makes 3-pt jump shot from 26 ft (assist by N. Queta),+3,72-53,,
8:50.0,,,72-53,,L. Ball misses 2-pt layup from 5 ft
8:49.0,,,72-53,,Offensive rebound by L. Ball
8:49.0,,,72-53,,L. Ball misses 2-pt layup from 4 ft
8:48.0,Defensive rebound by Team,,72-53,,
8:47.0,,,72-53,,Loose ball foul by L. Ball (drawn by J. Walsh)
8:47.0,,,72-53,,S. James enters the game for L. Ball
8:47.0,,,72-53,,R. Kalkbrenner enters the game for M. DiabatÃ©
8:24.0,J. Walsh misses 3-pt jump shot from 27 ft,,72-53,,
8:17.0,,,72-53,,Defensive rebound by K. Knueppel
8:07.0,,,72-53,,K. Knueppel misses 3-pt jump shot from 25 ft
8:05.0,Defensive rebound by J. Walsh,,72-53,,
7:43.0,P. Pritchard misses 2-pt jump shot from 15 ft,,72-53,,
7:40.0,Offensive rebound by J. Walsh,,72-53,,
7:38.0,J. Walsh misses 2-pt layup from 6 ft,,72-53,,
7:35.0,,,72-53,,Defensive rebound by K. Knueppel
7:30.0,,,72-55,+2,K. Knueppel makes 2-pt layup from 4 ft (assist by B. Miller)
7:09.0,J. Tatum misses 3-pt jump shot from 27 ft,,72-55,,
7:05.0,,,72-55,,Defensive rebound by S. James
6:57.0,,,72-55,,B. Miller misses 3-pt jump shot from 25 ft
6:54.0,Defensive rebound by P. Pritchard,,72-55,,
6:42.0,J. Tatum makes 3-pt jump shot from 26 ft,+3,75-55,,
6:18.0,,,75-58,+3,S. James makes 3-pt jump shot from 23 ft (assist by B. Miller)
6:00.0,J. Walsh misses 3-pt jump shot from 23 ft,,75-58,,
5:59.0,,,75-58,,Defensive rebound by Team
5:59.0,Loose ball foul by N. Queta (drawn by S. James),,75-58,,
5:59.0,,,75-58,,Charlotte full timeout
5:59.0,B. Scheierman enters the game for J. Walsh,,75-58,,
5:48.0,,,75-61,+3,B. Miller makes 3-pt jump shot from 26 ft (assist by R. Kalkbrenner)
5:31.0,J. Tatum makes 2-pt jump shot from 13 ft,+2,77-61,,
5:10.0,,,77-61,,S. James misses 2-pt jump shot from 6 ft
5:10.0,Defensive rebound by N. Queta,,77-61,,
5:02.0,J. Tatum misses 3-pt jump shot from 27 ft,,77-61,,
4:57.0,,,77-61,,Defensive rebound by M. Bridges
4:50.0,,,77-61,,B. Miller misses 3-pt jump shot from 25 ft
4:47.0,Defensive rebound by J. Tatum,,77-61,,
4:37.0,J. Tatum makes 2-pt jump shot from 9 ft,+2,79-61,,
4:11.0,,,79-63,+2,K. Knueppel makes 2-pt layup from 4 ft (assist by R. Kalkbrenner)
3:53.0,N. Queta makes 2-pt layup from 4 ft (assist by P. Pritchard),+2,81-63,,
3:37.0,,,81-63,,K. Knueppel misses 2-pt layup from 5 ft (block by N. Queta)
3:35.0,Defensive rebound by P. Pritchard,,81-63,,
3:31.0,S. Hauser misses 3-pt jump shot from 27 ft,,81-63,,
3:28.0,,,81-63,,Defensive rebound by S. James
3:22.0,,,81-63,,S. James misses 3-pt jump shot from 26 ft
3:19.0,Defensive rebound by N. Queta,,81-63,,
3:19.0,Boston full timeout,,81-63,,
3:19.0,L. Garza enters the game for S. Hauser,,81-63,,
3:19.0,H. GonzÃ¡lez PeÃ±a enters the game for N. Queta,,81-63,,
3:19.0,R. Harper enters the game for J. Tatum,,81-63,,
3:19.0,,,81-63,,M. DiabatÃ© enters the game for M. Bridges
3:19.0,,,81-63,,J. Green enters the game for R. Kalkbrenner
3:19.0,,,81-63,,L. McNeeley enters the game for K. Knueppel
3:19.0,,,81-63,,C. White enters the game for B. Miller
3:10.0,B. Scheierman misses 3-pt jump shot from 23 ft,,81-63,,
3:06.0,Offensive rebound by H. GonzÃ¡lez PeÃ±a,,81-63,,
2:54.0,B. Scheierman makes 2-pt jump shot from 13 ft,+2,83-63,,
2:35.0,,,83-66,+3,S. James makes 3-pt jump shot from 25 ft (assist by J. Green)
2:12.0,L. Garza makes 2-pt layup from 4 ft (assist by P. Pritchard),+2,85-66,,
1:58.0,,,85-68,+2,L. McNeeley makes 2-pt layup from 6 ft (assist by C. White)
1:37.0,P. Pritchard makes 2-pt jump shot from 7 ft (assist by R. Harper),+2,87-68,,
1:25.0,,,87-70,+2,C. White makes 2-pt layup from 4 ft (assist by S. James)
1:06.0,B. Scheierman misses 3-pt jump shot from 27 ft,,87-70,,
1:03.0,,,87-70,,Defensive rebound by L. McNeeley
0:45.0,,,87-73,+3,L. McNeeley makes 3-pt jump shot from 26 ft (assist by S. James)
0:36.0,Shooting foul by M. DiabatÃ© (drawn by B. Scheierman),,87-73,,
0:36.0,B. Scheierman makes free throw 1 of 2,+1,88-73,,
0:36.0,J. Walsh enters the game for R. Harper,,88-73,,
0:36.0,B. Scheierman makes free throw 2 of 2,+1,89-73,,
0:23.0,,,89-73,,Shooting foul by L. Garza (drawn by C. White)
0:23.0,,,89-74,+1,C. White makes free throw 1 of 2
0:23.0,,,89-75,+1,C. White makes free throw 2 of 2
0:00.0,P. Pritchard misses 2-pt jump shot from 20 ft,,89-75,,
0:00.0,Offensive rebound by Team,,89-75,,
0:00.0,End of 3rd quarter,End of 3rd quarter,End of 3rd quarter,End of 3rd quarter,End of 3rd quarter
4th Q,4th Q,4th Q,4th Q,4th Q,4th Q
Time,Boston,,Score,,Charlotte
12:00.0,Start of 4th quarter,Start of 4th quarter,Start of 4th quarter,Start of 4th quarter,Start of 4th quarter
11:38.0,J. Tatum misses 2-pt jump shot from 16 ft,,89-75,,
11:33.0,,,89-75,,Defensive rebound by C. White
11:25.0,,,89-75,,C. White misses 2-pt layup from 5 ft
11:22.0,,,89-75,,Offensive rebound by L. Ball
11:22.0,,,89-77,+2,L. Ball makes 2-pt layup at rim
11:04.0,H. GonzÃ¡lez PeÃ±a makes 3-pt jump shot from 23 ft (assist by B. Scheierman),+3,92-77,,
10:46.0,,,92-80,+3,L. Ball makes 3-pt jump shot from 25 ft (assist by M. Bridges)
10:32.0,B. Scheierman makes 3-pt jump shot from 27 ft (assist by J. Tatum),+3,95-80,,
10:10.0,,,95-80,,C. White misses 3-pt jump shot from 23 ft
10:04.0,Defensive rebound by J. Walsh,,95-80,,
9:56.0,J. Tatum misses 2-pt layup from 5 ft,,95-80,,
9:54.0,,,95-80,,Defensive rebound by C. White
9:50.0,,,95-80,,K. Knueppel misses 3-pt jump shot from 26 ft
9:47.0,,,95-80,,Offensive rebound by Team
9:32.0,,,95-80,,M. Bridges misses 2-pt jump shot from 17 ft
9:32.0,,,95-80,,Offensive rebound by Team
9:32.0,,,95-80,,Turnover by Team (shot clock)
9:19.0,J. Tatum misses 3-pt jump shot from 26 ft,,95-80,,
9:16.0,,,95-80,,Defensive rebound by K. Knueppel
9:10.0,,,95-83,+3,B. Miller makes 3-pt jump shot from 23 ft (assist by L. Ball)
8:47.0,J. Tatum misses 3-pt jump shot from 27 ft,,95-83,,
8:45.0,,,95-83,,Defensive rebound by B. Miller
8:42.0,,,95-83,,Personal foul by J. Tatum (drawn by K. Knueppel)
8:35.0,,,95-86,+3,L. Ball makes 3-pt jump shot from 26 ft
8:34.0,Boston full timeout,,95-86,,
8:34.0,P. Pritchard enters the game for H. GonzÃ¡lez PeÃ±a,,95-86,,
8:34.0,N. Queta enters the game for B. Scheierman,,95-86,,
8:34.0,,,95-86,,S. James enters the game for C. White
8:11.0,N. Queta makes 2-pt jump shot from 7 ft (assist by P. Pritchard),+2,97-86,,
8:00.0,,,97-86,,L. Ball misses 3-pt jump shot from 26 ft
7:58.0,Defensive rebound by P. Pritchard,,97-86,,
7:47.0,N. Queta makes 2-pt dunk from 4 ft (assist by J. Tatum),+2,99-86,,
7:21.0,,,99-88,+2,L. Ball makes 2-pt layup from 4 ft (assist by S. James)
7:14.0,Personal foul by S. James (drawn by J. Tatum),,99-88,,
7:05.0,Shooting foul by B. Miller (drawn by P. Pritchard),,99-88,,
