date,home_team,away_team,winning_team
2000-12-21,Houston Rockets,Los Angeles Lakers,1
2000-12-22,Indiana Pacers,Utah Jazz,1
2000-12-22,Philadelphia 76ers,New York Knicks,1
2000-12-22,Toronto Raptors,Atlanta Hawks,1
2000-12-22,Miami Heat,Cleveland Cavaliers,0
2000-12-22,Dallas Mavericks,Los Angeles Lakers,1
2000-12-22,Minnesota Timberwolves,Charlotte Hornets,1
2000-12-22,San Antonio Spurs,Golden State Warriors,0
2000-12-22,Denver Nuggets,Portland Trail Blazers,0
2000-12-22,Seattle SuperSonics,Washington Wizards,0
2000-12-22,Vancouver Grizzlies,Sacramento Kings,1
2000-12-23,Atlanta Hawks,Indiana Pacers,0
2000-12-23,Charlotte Hornets,San Antonio Spurs,0
2000-12-23,Detroit Pistons,Chicago Bulls,0
2000-12-23,New Jersey Nets,Miami Heat,1
2000-12-23,Orlando Magic,Cleveland Cavaliers,0
2000-12-23,Minnesota Timberwolves,Utah Jazz,1
2000-12-23,Houston Rockets,Golden State Warriors,1
2000-12-23,Milwaukee Bucks,Boston Celtics,0
2000-12-23,Phoenix Suns,Denver Nuggets,0
2000-12-23,Portland Trail Blazers,Washington Wizards,0
2000-12-23,Los Angeles Clippers,Vancouver Grizzlies,0
2000-12-23,Sacramento Kings,Seattle SuperSonics,0
2000-12-25,Indiana Pacers,Orlando Magic,0
2000-12-25,Los Angeles Lakers,Portland Trail Blazers,1
2000-12-26,Charlotte Hornets,Cleveland Cavaliers,0
2000-12-26,Detroit Pistons,Boston Celtics,0
2000-12-26,New Jersey Nets,Atlanta Hawks,1
2000-12-26,Dallas Mavericks,Seattle SuperSonics,0
2000-12-26,Milwaukee Bucks,Orlando Magic,0
2000-12-26,Minnesota Timberwolves,Toronto Raptors,0
2000-12-26,San Antonio Spurs,Houston Rockets,0
2000-12-26,Denver Nuggets,Los Angeles Clippers,0
2000-12-26,Utah Jazz,Philadelphia 76ers,1
2000-12-26,Vancouver Grizzlies,Phoenix Suns,1
2000-12-27,Washington Wizards,New York Knicks,1
2000-12-27,Miami Heat,Indiana Pacers,0
2000-12-27,Houston Rockets,Seattle SuperSonics,1
2000-12-27,Golden State Warriors,Philadelphia 76ers,1
2000-12-28,Cleveland Cavaliers,Milwaukee Bucks,1
2000-12-28,New Jersey Nets,Boston Celtics,1
2000-12-28,Orlando Magic,Detroit Pistons,0
2000-12-28,Dallas Mavericks,Los Angeles Clippers,0
2000-12-28,Minnesota Timberwolves,Atlanta Hawks,0
2000-12-28,Utah Jazz,Portland Trail Blazers,1
2000-12-28,Chicago Bulls,San Antonio Spurs,0
2000-12-28,Denver Nuggets,Toronto Raptors,1
2000-12-28,Phoenix Suns,Los Angeles Lakers,1
2000-12-28,Sacramento Kings,Charlotte Hornets,0
2000-12-29,Atlanta Hawks,Cleveland Cavaliers,1
2000-12-29,Miami Heat,Washington Wizards,0
2000-12-29,New York Knicks,Chicago Bulls,0
2000-12-29,Portland Trail Blazers,Vancouver Grizzlies,0
2000-12-29,Golden State Warriors,Utah Jazz,0
2000-12-30,Boston Celtics,Orlando Magic,1
2000-12-30,Dallas Mavericks,Houston Rockets,1
2000-12-30,Seattle SuperSonics,Charlotte Hornets,0
2000-12-30,Detroit Pistons,Miami Heat,1
2000-12-30,Indiana Pacers,San Antonio Spurs,1
2000-12-30,Minnesota Timberwolves,New York Knicks,1
2000-12-30,Sacramento Kings,Philadelphia 76ers,1
2000-12-30,Phoenix Suns,Toronto Raptors,0
2000-12-30,Denver Nuggets,Milwaukee Bucks,0
2000-12-30,Vancouver Grizzlies,Golden State Warriors,1
2000-12-30,Los Angeles Clippers,Los Angeles Lakers,1
2000-12-31,Chicago Bulls,New Jersey Nets,0
2000-12-31,Washington Wizards,Detroit Pistons,0
2001-01-01,Minnesota Timberwolves,Houston Rockets,0
2001-01-01,Portland Trail Blazers,Charlotte Hornets,0
2001-01-02,Washington Wizards,Minnesota Timberwolves,0
2001-01-02,Atlanta Hawks,Boston Celtics,0
2001-01-02,Cleveland Cavaliers,Houston Rockets,1
2001-01-02,Orlando Magic,New Jersey Nets,1
