1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Chicago,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Memphis
12:00.0,Jump ball: M. Buzelis vs. O. Prosper (L. Miller gains possession),Jump ball: M. Buzelis vs. O. Prosper (L. Miller gains possession),Jump ball: M. Buzelis vs. O. Prosper (L. Miller gains possession),Jump ball: M. Buzelis vs. O. Prosper (L. Miller gains possession),Jump ball: M. Buzelis vs. O. Prosper (L. Miller gains possession)
6:01.0,T. Jones misses 2-pt layup from 2 ft (block by T. Burton),,36-47,,
6:01.0,Offensive rebound by Team,,36-47,,
5:58.0,T. Jones makes 2-pt layup from 3 ft (assist by J. Giddey),+2,38-47,,
5:45.0,,,38-47,,A. Bal misses 3-pt jump shot from 24 ft
5:43.0,Defensive rebound by J. Giddey,,38-47,,
5:36.0,Shooting foul by A. Bal (drawn by L. Olbrich),,38-47,,
5:36.0,L. Olbrich makes free throw 1 of 2,+1,39-47,,
5:36.0,M. Buzelis enters the game for T. Jones,,39-47,,
5:36.0,L. Olbrich misses free throw 2 of 2,,39-47,,
5:34.0,,,39-47,,Defensive rebound by D. Jarreau
5:27.0,,,39-49,+2,T. Burton makes 2-pt layup from 2 ft (assist by D. Jarreau)
5:19.0,J. Giddey makes 2-pt jump shot from 11 ft,+2,41-49,,
5:19.0,Shooting foul by A. Bal (drawn by J. Giddey),,41-49,,
5:19.0,J. Giddey makes free throw 1 of 1,+1,42-49,,
5:06.0,,,42-49,,T. Burton misses 3-pt jump shot from 26 ft
5:03.0,Defensive rebound by L. Olbrich,,42-49,,
4:52.0,P. Williams makes 2-pt hook shot from 3 ft,+2,44-49,,
4:30.0,,,44-49,,Turnover by D. Jarreau (traveling)
4:30.0,C. Sexton enters the game for I. Okoro,,44-49,,
4:19.0,L. Olbrich makes 2-pt layup from 2 ft (assist by J. Giddey),+2,46-49,,
4:05.0,,,46-49,,T. Burton misses 2-pt jump shot from 9 ft
4:03.0,Defensive rebound by L. Olbrich,,46-49,,
3:55.0,J. Giddey makes 3-pt jump shot from 26 ft,+3,49-49,,
3:54.0,,,49-49,,Memphis full timeout
3:44.0,,,49-49,,Personal foul by C. Sexton (drawn by W. Clayton)
3:35.0,,,49-51,+2,T. Burton makes 2-pt layup from 2 ft
3:35.0,,,49-51,,Shooting foul by M. Buzelis (drawn by T. Burton)
3:35.0,,,49-51,,T. Burton misses free throw 1 of 1
3:33.0,Defensive rebound by J. Giddey,,49-51,,
3:20.0,C. Sexton misses 3-pt jump shot from 26 ft,,49-51,,
3:18.0,Offensive rebound by J. Giddey,,49-51,,
3:16.0,P. Williams makes 2-pt dunk from 1 ft (assist by J. Giddey),+2,51-51,,
2:59.0,,,51-53,+2,D. Jarreau makes 2-pt jump shot from 12 ft
2:43.0,M. Buzelis misses 2-pt jump shot from 5 ft,,51-53,,
2:41.0,,,51-53,,Defensive rebound by W. Clayton
2:39.0,,,51-53,,Turnover by W. Clayton (bad pass)
2:39.0,,,51-53,,C. Coward enters the game for W. Clayton
2:39.0,,,51-53,,R. Rupert enters the game for J. Mashack
2:28.0,P. Williams misses 3-pt jump shot from 25 ft,,51-53,,
2:24.0,,,51-53,,Defensive rebound by A. Bal
2:13.0,,,51-53,,C. Coward misses 2-pt jump shot from 5 ft
2:09.0,,,51-53,,Offensive rebound by C. Coward
2:05.0,,,51-56,+3,T. Burton makes 3-pt jump shot from 26 ft (assist by A. Bal)
1:52.0,M. Buzelis makes 3-pt jump shot from 25 ft (assist by C. Sexton),+3,54-56,,
1:37.0,,,54-56,,C. Coward misses 2-pt jump shot from 11 ft
1:34.0,Defensive rebound by L. Olbrich,,54-56,,
1:24.0,M. Buzelis misses 3-pt jump shot from 23 ft,,54-56,,
1:22.0,,,54-56,,Defensive rebound by T. Burton
1:03.0,,,54-56,,C. Coward misses 2-pt jump shot from 16 ft
1:01.0,Defensive rebound by J. Giddey,,54-56,,
0:54.0,M. Buzelis makes 2-pt layup at rim (assist by J. Giddey),+2,56-56,,
0:50.0,,,56-56,,Personal foul by L. Olbrich (drawn by T. Burton)
0:50.0,L. Miller enters the game for L. Olbrich,,56-56,,
0:29.0,,,56-56,,T. Burton misses 3-pt jump shot from 26 ft
0:27.0,Defensive rebound by L. Miller,,56-56,,
