1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Miami,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Cleveland
12:00.0,Jump ball: B. Adebayo vs. J. Allen (J. Harden gains possession),Jump ball: B. Adebayo vs. J. Allen (J. Harden gains possession),Jump ball: B. Adebayo vs. J. Allen (J. Harden gains possession),Jump ball: B. Adebayo vs. J. Allen (J. Harden gains possession),Jump ball: B. Adebayo vs. J. Allen (J. Harden gains possession)
3:41.0,,,40-69,+2,J. Allen makes 2-pt dunk from 1 ft (assist by J. Harden)
3:24.0,N. Powell misses 3-pt jump shot from 27 ft,,40-69,,
3:21.0,,,40-69,,Defensive rebound by J. Harden
3:16.0,,,40-71,+2,S. Merrill makes 2-pt layup from 1 ft
3:04.0,Shooting foul by J. Harden (drawn by B. Adebayo),,40-71,,
3:04.0,B. Adebayo makes free throw 1 of 2,+1,41-71,,
3:04.0,J. Jaquez enters the game for A. Wiggins,,41-71,,
3:04.0,,,41-71,,D. Mitchell enters the game for K. Ellis
3:04.0,,,41-71,,E. Mobley enters the game for S. Merrill
3:04.0,B. Adebayo makes free throw 2 of 2,+1,42-71,,
2:47.0,,,42-73,+2,J. Allen makes 2-pt dunk from 1 ft (assist by J. Harden)
2:29.0,Turnover by D. Mitchell (bad pass; steal by E. Mobley),,42-73,,
2:22.0,,,42-73,,M. Strus misses 3-pt jump shot from 24 ft
2:19.0,,,42-73,,Offensive rebound by M. Strus
2:19.0,,,42-75,+2,M. Strus makes 2-pt layup from 1 ft
2:19.0,Miami full timeout,,42-75,,
2:19.0,P. Larsson enters the game for N. Powell,,42-75,,
2:01.0,J. Jaquez makes 2-pt jump shot from 9 ft (assist by B. Adebayo),+2,44-75,,
1:43.0,,,44-75,,D. Mitchell misses 2-pt jump shot from 21 ft
1:41.0,Defensive rebound by B. Adebayo,,44-75,,
1:27.0,J. Jaquez makes 2-pt jump shot from 9 ft (assist by D. Mitchell),+2,46-75,,
1:07.0,,,46-75,,D. Mitchell misses 3-pt jump shot from 23 ft
1:04.0,Defensive rebound by T. Herro,,46-75,,
1:00.0,T. Herro misses 3-pt jump shot from 27 ft (block by J. Allen),,46-75,,
0:57.0,Offensive rebound by Team,,46-75,,
0:49.0,D. Mitchell misses 3-pt jump shot from 25 ft,,46-75,,
0:49.0,,,46-75,,Defensive rebound by E. Mobley
0:47.0,,,46-75,,Personal foul by P. Larsson (drawn by J. Allen)
0:30.0,,,46-78,+3,J. Harden makes 3-pt jump shot from 26 ft
0:23.0,B. Adebayo misses 3-pt jump shot from 23 ft,,46-78,,
0:19.0,,,46-78,,Defensive rebound by D. Mitchell
0:00.0,,,46-81,+3,M. Strus makes 3-pt jump shot from 23 ft (assist by J. Harden)
0:00.0,,,46-81,,Instant Replay (Request: Ruling Stands)
0:00.0,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter
3rd Q,3rd Q,3rd Q,3rd Q,3rd Q,3rd Q
Time,Miami,,Score,,Cleveland
12:00.0,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter
11:41.0,T. Herro makes 2-pt jump shot from 8 ft,+2,48-81,,
11:23.0,,,48-81,,D. Mitchell misses 2-pt layup from 2 ft
11:21.0,Defensive rebound by B. Adebayo,,48-81,,
11:18.0,A. Wiggins makes 3-pt jump shot from 24 ft (assist by B. Adebayo),+3,51-81,,
10:56.0,,,51-83,+2,E. Mobley makes 2-pt layup from 1 ft
10:44.0,T. Herro misses 2-pt jump shot from 11 ft,,51-83,,
10:40.0,,,51-83,,Defensive rebound by J. Harden
10:31.0,,,51-83,,Shooting foul by T. Herro (drawn by J. Harden)
10:31.0,,,51-84,+1,J. Harden makes free throw 1 of 2
10:31.0,,,51-85,+1,J. Harden makes free throw 2 of 2
10:12.0,N. Powell misses 2-pt jump shot from 8 ft,,51-85,,
10:10.0,,,51-85,,Defensive rebound by J. Allen
10:00.0,,,51-85,,Shooting foul by A. Wiggins (drawn by D. Mitchell)
10:00.0,,,51-86,+1,D. Mitchell makes free throw 1 of 2
10:00.0,,,51-87,+1,D. Mitchell makes free throw 2 of 2
9:45.0,N. Powell makes 2-pt jump shot from 14 ft,+2,53-87,,
9:33.0,,,53-89,+2,J. Allen makes 2-pt jump shot from 9 ft (assist by J. Harden)
9:23.0,B. Adebayo misses 3-pt jump shot from 29 ft,,53-89,,
9:20.0,,,53-89,,Defensive rebound by J. Harden
9:15.0,,,53-89,,D. Mitchell misses 3-pt jump shot from 26 ft
9:14.0,,,53-89,,Offensive rebound by Team
9:10.0,,,53-89,,S. Merrill misses 3-pt jump shot from 25 ft
9:08.0,Defensive rebound by A. Wiggins,,53-89,,
8:58.0,B. Adebayo makes 3-pt jump shot from 25 ft (assist by N. Powell),+3,56-89,,
8:34.0,,,56-89,,Turnover by Team (shot clock)
8:19.0,A. Wiggins makes 3-pt jump shot from 23 ft (assist by D. Mitchell),+3,59-89,,
8:04.0,,,59-91,+2,J. Allen makes 2-pt hook shot from 11 ft (assist by D. Mitchell)
7:52.0,T. Herro misses 2-pt jump shot from 16 ft,,59-91,,
7:49.0,,,59-91,,Defensive rebound by J. Allen
7:36.0,,,59-91,,Turnover by D. Mitchell (bad pass; steal by B. Adebayo)
7:25.0,Shooting foul by E. Mobley (drawn by A. Wiggins),,59-91,,
7:25.0,A. Wiggins makes free throw 1 of 2,+1,60-91,,
7:25.0,A. Wiggins makes free throw 2 of 2,+1,61-91,,
7:15.0,Violation by Team (kicked ball),,61-91,,
7:15.0,,,61-91,,K. Ellis enters the game for D. Mitchell
7:04.0,,,61-91,,J. Harden misses 3-pt jump shot from 25 ft
7:01.0,Defensive rebound by B. Adebayo,,61-91,,
6:56.0,D. Mitchell misses 2-pt jump shot from 14 ft,,61-91,,
6:49.0,,,61-91,,Defensive rebound by J. Allen
6:44.0,,,61-91,,J. Harden misses 3-pt jump shot from 26 ft
6:41.0,Defensive rebound by D. Mitchell,,61-91,,
6:36.0,Shooting foul by E. Mobley (drawn by B. Adebayo),,61-91,,
6:36.0,,,61-91,,Cleveland full timeout
6:36.0,,,61-91,,M. Strus enters the game for J. Allen
6:36.0,B. Adebayo makes free throw 1 of 2,+1,62-91,,
6:36.0,B. Adebayo makes free throw 2 of 2,+1,63-91,,
6:22.0,,,63-93,+2,E. Mobley makes 2-pt dunk from 1 ft (assist by J. Harden)
6:08.0,T. Herro makes 3-pt jump shot from 26 ft,+3,66-93,,
6:00.0,,,66-95,+2,K. Ellis makes 2-pt layup from 1 ft (assist by J. Harden)
5:43.0,B. Adebayo misses 3-pt jump shot from 27 ft,,66-95,,
5:40.0,,,66-95,,Defensive rebound by E. Mobley
5:29.0,,,66-95,,E. Mobley misses 2-pt dunk from 2 ft
5:27.0,Defensive rebound by N. Powell,,66-95,,
5:23.0,D. Mitchell misses 3-pt jump shot from 25 ft,,66-95,,
5:21.0,Offensive rebound by T. Herro,,66-95,,
5:16.0,Shooting foul by K. Ellis (drawn by B. Adebayo),,66-95,,
5:16.0,B. Adebayo makes free throw 1 of 2,+1,67-95,,
5:16.0,P. Larsson enters the game for T. Herro,,67-95,,
5:16.0,,,67-95,,T. Bryant enters the game for S. Merrill
5:16.0,,,67-95,,D. SchrÃ¶der enters the game for E. Mobley
5:16.0,B. Adebayo makes free throw 2 of 2,+1,68-95,,
4:58.0,,,68-95,,T. Bryant misses 3-pt jump shot from 26 ft
4:55.0,Defensive rebound by B. Adebayo,,68-95,,
4:44.0,D. Mitchell misses 3-pt jump shot from 27 ft,,68-95,,
4:41.0,,,68-95,,Defensive rebound by J. Harden
4:32.0,,,68-98,+3,M. Strus makes 3-pt jump shot from 26 ft (assist by J. Harden)
4:15.0,Shooting foul by M. Strus (drawn by P. Larsson),,68-98,,
4:15.0,P. Larsson makes free throw 1 of 2,+1,69-98,,
4:15.0,J. Jaquez enters the game for A. Wiggins,,69-98,,
4:15.0,,,69-98,,D. Mitchell enters the game for J. Harden
4:15.0,P. Larsson makes free throw 2 of 2,+1,70-98,,
3:57.0,,,70-100,+2,T. Bryant makes 2-pt layup from 1 ft (assist by D. SchrÃ¶der)
3:44.0,,,70-100,,Violation by Team (kicked ball)
3:44.0,K. JakuÄionis enters the game for D. Mitchell,,70-100,,
3:37.0,B. Adebayo misses 2-pt jump shot from 17 ft,,70-100,,
3:34.0,,,70-100,,Defensive rebound by M. Strus
3:27.0,,,70-100,,Turnover by D. Mitchell (bad pass)
3:23.0,Personal foul by D. Mitchell (drawn by P. Larsson),,70-100,,
3:23.0,P. Larsson makes free throw 1 of 2,+1,71-100,,
3:23.0,P. Larsson makes free throw 2 of 2,+1,72-100,,
3:12.0,,,72-100,,Shooting foul by K. JakuÄionis (drawn by D. SchrÃ¶der)
3:12.0,,,72-101,+1,D. SchrÃ¶der makes free throw 1 of 2
3:12.0,,,72-101,,D. SchrÃ¶der misses free throw 2 of 2
3:09.0,Defensive rebound by B. Adebayo,,72-101,,
3:03.0,N. Powell makes 3-pt jump shot from 30 ft (assist by J. Jaquez),+3,75-101,,
2:47.0,,,75-101,,T. Bryant misses 2-pt layup from 1 ft
2:45.0,Defensive rebound by B. Adebayo,,75-101,,
2:40.0,J. Jaquez makes 3-pt jump shot from 27 ft (assist by B. Adebayo),+3,78-101,,
2:40.0,Flagrant foul type 1 by D. SchrÃ¶der (drawn by K. JakuÄionis),,78-101,,
2:40.0,Instant Replay (Request: Ruling Stands),,78-101,,
2:40.0,Miami full timeout,,78-101,,
2:40.0,K. JakuÄionis makes flagrant free throw 1 of 1,+1,79-101,,
2:27.0,J. Jaquez makes 3-pt jump shot from 26 ft (assist by N. Powell),+3,82-101,,
2:08.0,,,82-101,,K. Ellis misses 3-pt jump shot from 30 ft
2:05.0,,,82-101,,Offensive rebound by T. Bryant
2:02.0,,,82-101,,T. Bryant misses 2-pt layup from 2 ft (block by J. Jaquez)
2:00.0,Defensive rebound by B. Adebayo,,82-101,,
1:55.0,K. JakuÄionis misses 3-pt jump shot from 25 ft,,82-101,,
1:51.0,,,82-101,,Defensive rebound by M. Strus
1:41.0,,,82-101,,Shooting foul by J. Jaquez (drawn by D. Mitchell)
1:41.0,,,82-102,+1,D. Mitchell makes free throw 1 of 2
1:41.0,,,82-103,+1,D. Mitchell makes free throw 2 of 2
1:33.0,Offensive foul by J. Jaquez (drawn by K. Ellis),,82-103,,
1:33.0,Turnover by J. Jaquez (offensive foul),,82-103,,
1:19.0,,,82-103,,D. Mitchell misses 2-pt layup from 2 ft
1:17.0,Defensive rebound by B. Adebayo,,82-103,,
1:09.0,B. Adebayo misses 3-pt jump shot from 23 ft,,82-103,,
1:07.0,,,82-103,,Defensive rebound by M. Strus
1:01.0,,,82-105,+2,T. Bryant makes 2-pt hook shot from 1 ft (assist by M. Strus)
0:39.0,J. Jaquez misses 3-pt jump shot from 27 ft,,82-105,,
0:36.0,,,82-105,,Defensive rebound by M. Strus
0:30.0,,,82-105,,M. Strus misses 3-pt jump shot from 26 ft
0:27.0,Defensive rebound by N. Powell,,82-105,,
0:25.0,J. Jaquez makes 2-pt layup from 1 ft (assist by P. Larsson),+2,84-105,,
0:08.0,,,84-105,,Personal foul by J. Jaquez (drawn by M. Strus)
0:08.0,,,84-105,,M. Strus misses free throw 1 of 2
0:08.0,,,84-105,,Offensive rebound by Team
0:08.0,,,84-106,+1,M. Strus makes free throw 2 of 2
0:08.0,,,84-106,,E. Mobley enters the game for T. Bryant
