date,home_id,away_id,opening_total,spread,ml_home,ml_away,season_id,implied_prob_home,implied_prob_away
2008-01-29,WAS,TOR,192.5,2.5,135,-155,2007-08,0.425531914893617,0.6078431372549019
2008-01-25,OKC,ATL,198.5,1.5,150,-170,2007-08,0.4,0.6296296296296297
2008-01-25,UTA,SAC,213.5,8.0,-410,340,2007-08,0.803921568627451,0.22727272727272727
2008-01-23,CHI,IND,207.5,3.5,-200,170,2007-08,0.6666666666666666,0.37037037037037035
2008-01-23,SAS,LAL,198.5,6.5,-400,330,2007-08,0.8,0.23255813953488372
2008-01-23,DEN,ATL,203.0,5.0,-235,195,2007-08,0.7014925373134329,0.3389830508474576
2008-01-23,OKC,HOU,192.5,5.5,225,-265,2007-08,0.3076923076923077,0.726027397260274
2008-01-23,LAC,SAC,199.0,0.0,120,-140,2007-08,0.45454545454545453,0.5833333333333334
2008-01-24,MIA,SAS,184.5,8.0,455,-555,2007-08,0.18018018018018017,0.8473282442748091
2008-01-24,MIL,IND,210.5,5.0,-230,190,2007-08,0.696969696969697,0.3448275862068966
2008-01-24,GSW,BKN,214.5,9.0,-550,450,2007-08,0.8461538461538461,0.18181818181818182
2008-01-25,POR,HOU,184.5,2.0,-130,110,2007-08,0.5652173913043478,0.47619047619047616
2008-01-25,CLE,PHX,212.5,2.5,100,-120,2007-08,0.5,0.5454545454545454
2008-01-25,TOR,MIL,197.0,9.5,-650,525,2007-08,0.8666666666666667,0.16
2008-01-25,NYK,PHI,192.5,2.0,-145,125,2007-08,0.5918367346938775,0.4444444444444444
2008-01-25,BOS,MIN,192.5,14.0,-1700,1050,2007-08,0.9444444444444444,0.08695652173913043
2008-01-25,DET,ORL,192.0,7.5,-325,275,2007-08,0.7647058823529411,0.26666666666666666
2008-01-25,NOP,LAC,189.0,11.0,-565,465,2007-08,0.849624060150376,0.17699115044247787
2008-01-25,DAL,LAL,206.0,7.0,-305,255,2007-08,0.7530864197530864,0.28169014084507044
2008-01-25,CHI,CHA,188.0,1.5,-165,145,2007-08,0.6226415094339622,0.40816326530612246
2008-01-25,DEN,BKN,209.5,7.5,-425,355,2007-08,0.8095238095238095,0.21978021978021978
2008-01-25,WAS,MEM,204.5,8.5,-470,390,2007-08,0.8245614035087719,0.20408163265306123
2008-01-23,MIN,PHX,213.0,8.5,330,-400,2007-08,0.23255813953488372,0.8
2008-01-29,MIA,BOS,183.0,7.0,160,-190,2007-08,0.38461538461538464,0.6551724137931034
2008-01-29,CHI,MIN,188.0,2.5,-175,155,2007-08,0.6363636363636364,0.39215686274509803
2008-02-01,MIA,BKN,189.0,4.5,140,-160,2007-08,0.4166666666666667,0.6153846153846154
2008-02-01,MIN,LAC,187.0,7.0,-315,265,2007-08,0.7590361445783133,0.273972602739726
2008-02-01,SAC,NOP,204.0,3.5,120,-140,2007-08,0.45454545454545453,0.5833333333333334
2008-02-01,GSW,CHA,218.0,9.0,-420,350,2007-08,0.8076923076923077,0.2222222222222222
2008-02-01,POR,NYK,191.0,8.0,-350,290,2007-08,0.7777777777777778,0.2564102564102564
2008-02-02,IND,ORL,212.5,3.5,150,-170,2007-08,0.4,0.6296296296296297
2008-02-02,ATL,BKN,187.5,5.5,-300,250,2007-08,0.75,0.2857142857142857
2008-02-02,CLE,LAC,182.0,8.5,-825,625,2007-08,0.8918918918918919,0.13793103448275862
2008-02-01,PHI,ORL,198.5,3.5,155,-175,2007-08,0.39215686274509803,0.6363636363636364
2008-02-02,MEM,UTA,208.0,8.5,290,-350,2007-08,0.2564102564102564,0.7777777777777778
2008-02-02,DEN,CHA,214.0,12.0,-1300,850,2007-08,0.9285714285714286,0.10526315789473684
2008-02-02,OKC,NYK,200.0,3.0,-165,145,2007-08,0.6226415094339622,0.40816326530612246
2008-02-02,SAC,CHI,200.0,7.0,-385,325,2007-08,0.7938144329896907,0.23529411764705882
2008-02-03,WAS,LAL,203.5,5.0,140,-160,2007-08,0.4166666666666667,0.6153846153846154
2008-02-03,DET,DAL,186.0,5.0,-250,210,2007-08,0.7142857142857143,0.3225806451612903
2008-02-04,ATL,PHI,189.5,5.0,-195,165,2007-08,0.6610169491525424,0.37735849056603776
2008-02-04,ORL,DAL,201.0,2.5,-190,160,2007-08,0.6551724137931034,0.38461538461538464
2008-02-04,MIA,TOR,191.5,7.5,370,-450,2007-08,0.2127659574468085,0.8181818181818182
2008-02-02,MIL,HOU,187.5,5.5,265,-315,2007-08,0.273972602739726,0.7590361445783133
2008-01-29,BKN,MIL,191.5,7.0,-265,225,2007-08,0.726027397260274,0.3076923076923077
2008-02-01,WAS,UTA,201.0,4.5,195,-235,2007-08,0.3389830508474576,0.7014925373134329
2008-02-01,TOR,LAL,204.5,5.5,-275,235,2007-08,0.7333333333333333,0.29850746268656714
2008-01-29,HOU,GSW,203.0,4.5,-145,125,2007-08,0.5918367346938775,0.4444444444444444
2008-01-29,PHX,ATL,207.5,9.5,-605,480,2007-08,0.8581560283687943,0.1724137931034483
2008-01-29,OKC,SAS,194.5,8.5,250,-300,2007-08,0.2857142857142857,0.75
2008-01-29,LAL,NYK,206.5,9.5,-510,410,2007-08,0.8360655737704918,0.19607843137254902
2008-01-30,ORL,MIA,196.5,12.0,-2500,1450,2007-08,0.9615384615384616,0.06451612903225806
2008-01-30,TOR,WAS,192.0,5.0,-650,525,2007-08,0.8666666666666667,0.16
2008-01-30,PHI,MIL,187.0,6.5,-450,370,2007-08,0.8181818181818182,0.2127659574468085
2008-01-30,MEM,DEN,217.0,2.0,160,-190,2007-08,0.38461538461538464,0.6551724137931034
2008-02-01,IND,HOU,198.0,4.0,160,-190,2007-08,0.38461538461538464,0.6551724137931034
