1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Utah,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Phoenix
12:00.0,Jump ball: K. Filipowski vs. O. Ighodaro (C. Gillespie gains possession),Jump ball: K. Filipowski vs. O. Ighodaro (C. Gillespie gains possession),Jump ball: K. Filipowski vs. O. Ighodaro (C. Gillespie gains possession),Jump ball: K. Filipowski vs. O. Ighodaro (C. Gillespie gains possession),Jump ball: K. Filipowski vs. O. Ighodaro (C. Gillespie gains possession)
6:31.0,,,34-53,,D. Booker enters the game for C. Gillespie
6:31.0,B. Sensabaugh misses free throw 2 of 2,,34-53,,
6:29.0,,,34-53,,Defensive rebound by R. Dunn
6:19.0,,,34-53,,J. Green misses 2-pt jump shot from 14 ft
6:17.0,Defensive rebound by C. Williams,,34-53,,
6:11.0,B. Sensabaugh makes 2-pt dunk from 1 ft (assist by C. Williams),+2,36-53,,
5:58.0,,,36-53,,Shooting foul by A. Bailey (drawn by D. Booker)
5:58.0,,,36-54,+1,D. Booker makes free throw 1 of 2
5:58.0,,,36-55,+1,D. Booker makes free throw 2 of 2
5:47.0,K. Filipowski makes 3-pt jump shot from 26 ft (assist by B. Sensabaugh),+3,39-55,,
5:36.0,,,39-55,,Personal foul by K. Filipowski (drawn by R. O'Neale)
5:28.0,,,39-55,,R. Dunn misses 3-pt jump shot from 26 ft
5:24.0,,,39-55,,Offensive rebound by R. O'Neale
5:23.0,,,39-57,+2,K. Maluach makes 2-pt dunk from 1 ft (assist by R. O'Neale)
5:09.0,C. Williams misses 2-pt jump shot from 18 ft,,39-57,,
5:06.0,Offensive rebound by K. Filipowski,,39-57,,
5:01.0,Turnover by A. Bailey (lost ball; steal by R. Dunn),,39-57,,
4:58.0,,,39-59,+2,R. Dunn makes 2-pt dunk from 1 ft (assist by J. Green)
4:45.0,B. Sensabaugh makes 2-pt jump shot from 10 ft,+2,41-59,,
4:33.0,,,41-61,+2,J. Green makes 2-pt jump shot from 18 ft
4:23.0,C. Williams misses 2-pt layup from 1 ft (block by K. Maluach),,41-61,,
4:22.0,,,41-61,,Defensive rebound by K. Maluach
4:18.0,,,41-61,,R. O'Neale misses 3-pt jump shot from 24 ft
4:13.0,Defensive rebound by E. Harkless,,41-61,,
4:08.0,B. Sensabaugh makes 2-pt layup from 2 ft (assist by E. Harkless),+2,43-61,,
3:52.0,,,43-61,,J. Green misses 3-pt jump shot from 30 ft
3:50.0,,,43-61,,Offensive rebound by Team
3:50.0,Loose ball foul by E. Harkless (drawn by R. Dunn),,43-61,,
3:50.0,,,43-61,,R. Dunn misses free throw 1 of 2
3:50.0,,,43-61,,Offensive rebound by Team
3:50.0,,,43-61,,G. Allen enters the game for J. Green
3:50.0,,,43-61,,O. Ighodaro enters the game for K. Maluach
3:50.0,,,43-61,,R. Dunn misses free throw 2 of 2
3:47.0,Defensive rebound by K. Filipowski,,43-61,,
3:32.0,B. Sensabaugh misses 3-pt jump shot from 28 ft,,43-61,,
3:29.0,Offensive rebound by E. Harkless,,43-61,,
3:25.0,A. Bailey misses 2-pt layup from 1 ft,,43-61,,
3:22.0,,,43-61,,Defensive rebound by G. Allen
3:12.0,,,43-64,+3,G. Allen makes 3-pt jump shot from 29 ft (assist by D. Booker)
2:57.0,Shooting foul by G. Allen (drawn by K. Filipowski),,43-64,,
2:57.0,Utah full timeout,,43-64,,
2:57.0,,,43-64,,R. Fleming enters the game for R. Dunn
2:57.0,,,43-64,,J. Goodwin enters the game for R. O'Neale
2:57.0,K. Filipowski makes free throw 1 of 2,+1,44-64,,
2:57.0,K. Filipowski makes free throw 2 of 2,+1,45-64,,
2:37.0,,,45-66,+2,D. Booker makes 2-pt jump shot from 9 ft
2:25.0,,,45-66,,Violation by Team (kicked ball)
2:16.0,E. Harkless misses 2-pt layup from 2 ft (block by D. Booker),,45-66,,
2:15.0,,,45-66,,Defensive rebound by G. Allen
2:10.0,,,45-66,,Shooting foul by K. Filipowski (drawn by D. Booker)
2:10.0,,,45-67,+1,D. Booker makes free throw 1 of 2
2:10.0,,,45-67,,D. Booker misses free throw 2 of 2
2:07.0,,,45-67,,Offensive rebound by O. Ighodaro
1:54.0,,,45-67,,Turnover by O. Ighodaro (3 sec)
1:54.0,J. Konchar enters the game for K. Filipowski,,45-67,,
1:38.0,A. Bailey misses 2-pt jump shot from 13 ft,,45-67,,
1:35.0,,,45-67,,Defensive rebound by O. Ighodaro
1:32.0,,,45-67,,D. Booker misses 2-pt layup from 1 ft (block by A. Bailey)
1:29.0,,,45-67,,Offensive rebound by O. Ighodaro
1:28.0,,,45-69,+2,O. Ighodaro makes 2-pt dunk from 2 ft
1:24.0,Turnover by C. Williams (bad pass),,45-69,,
1:12.0,,,45-69,,Shooting foul by J. Konchar (drawn by O. Ighodaro)
1:12.0,,,45-69,,O. Ighodaro misses free throw 1 of 2
1:12.0,,,45-69,,Offensive rebound by Team
1:12.0,,,45-69,,O. Ighodaro misses free throw 2 of 2
1:11.0,,,45-69,,Offensive rebound by J. Goodwin
1:10.0,,,45-69,,J. Goodwin misses 2-pt layup from 1 ft
1:09.0,Defensive rebound by A. Bailey,,45-69,,
1:01.0,B. Sensabaugh misses 2-pt jump shot from 18 ft,,45-69,,
0:57.0,,,45-69,,Defensive rebound by R. Fleming
0:53.0,,,45-71,+2,O. Ighodaro makes 2-pt dunk from 1 ft (assist by D. Booker)
0:31.0,C. Williams misses 2-pt jump shot from 7 ft,,45-71,,
0:28.0,,,45-71,,Defensive rebound by R. Fleming
0:08.0,,,45-73,+2,D. Booker makes 2-pt layup from 2 ft
0:00.0,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter
3rd Q,3rd Q,3rd Q,3rd Q,3rd Q,3rd Q
Time,Utah,,Score,,Phoenix
12:00.0,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter
11:47.0,E. Harkless misses 3-pt jump shot from 24 ft,,45-73,,
11:43.0,,,45-73,,Defensive rebound by D. Booker
11:29.0,,,45-75,+2,J. Green makes 2-pt jump shot from 17 ft
11:18.0,A. Bailey makes 2-pt jump shot from 20 ft (assist by C. Williams),+2,47-75,,
11:04.0,,,47-75,,J. Green misses 3-pt jump shot from 29 ft
11:03.0,,,47-75,,Offensive rebound by Team
11:03.0,Loose ball foul by C. Williams (drawn by O. Ighodaro),,47-75,,
10:58.0,,,47-78,+3,J. Green makes 3-pt jump shot from 24 ft (assist by D. Booker)
10:38.0,K. Filipowski misses 2-pt layup from 2 ft,,47-78,,
10:37.0,,,47-78,,Defensive rebound by Team
10:28.0,,,47-78,,J. Green misses 3-pt jump shot from 27 ft
10:25.0,Defensive rebound by C. Williams,,47-78,,
10:13.0,K. Filipowski misses 2-pt jump shot from 5 ft,,47-78,,
10:13.0,,,47-78,,Defensive rebound by J. Green
10:06.0,,,47-78,,D. Booker misses 3-pt jump shot from 29 ft
10:03.0,Defensive rebound by K. Filipowski,,47-78,,
9:59.0,A. Bailey makes 2-pt dunk at rim (assist by E. Harkless),+2,49-78,,
9:51.0,,,49-80,+2,J. Green makes 2-pt layup from 1 ft (assist by C. Gillespie)
9:43.0,B. Sensabaugh makes 2-pt layup from 1 ft,+2,51-80,,
9:31.0,,,51-80,,C. Gillespie misses 3-pt jump shot from 30 ft
9:31.0,Defensive rebound by A. Bailey,,51-80,,
9:22.0,B. Sensabaugh misses 3-pt jump shot from 30 ft,,51-80,,
9:22.0,,,51-80,,Defensive rebound by J. Green
9:13.0,,,51-82,+2,D. Booker makes 2-pt layup from 1 ft (assist by J. Green)
9:13.0,,,51-82,,Shooting foul by E. Harkless (drawn by D. Booker)
9:13.0,,,51-83,+1,D. Booker makes free throw 1 of 1
8:54.0,A. Bailey makes 2-pt dunk from 1 ft (assist by E. Harkless),+2,53-83,,
8:42.0,,,53-85,+2,J. Green makes 2-pt layup from 1 ft
8:29.0,Offensive foul by C. Williams (drawn by J. Green),,53-85,,
8:29.0,Turnover by C. Williams (offensive foul),,53-85,,
8:29.0,K. Chandler enters the game for C. Williams,,53-85,,
8:16.0,,,53-87,+2,D. Booker makes 2-pt layup from 1 ft
8:03.0,B. Sensabaugh misses 2-pt layup from 1 ft,,53-87,,
8:02.0,Offensive rebound by K. Filipowski,,53-87,,
8:01.0,K. Filipowski makes 2-pt layup from 2 ft,+2,55-87,,
7:50.0,,,55-87,,Personal foul by B. Sensabaugh (drawn by C. Gillespie)
7:37.0,,,55-89,+2,J. Green makes 2-pt layup from 1 ft
7:20.0,B. Sensabaugh makes 2-pt layup from 1 ft (assist by E. Harkless),+2,57-89,,
7:08.0,,,57-91,+2,O. Ighodaro makes 2-pt dunk from 1 ft (assist by D. Booker)
6:49.0,K. Filipowski makes 2-pt layup from 1 ft (assist by K. Chandler),+2,59-91,,
6:37.0,,,59-91,,Offensive foul by O. Ighodaro (drawn by E. Harkless)
6:37.0,,,59-91,,Turnover by O. Ighodaro (offensive foul)
6:37.0,,,59-91,,Phoenix full timeout
6:37.0,B. Mbeng enters the game for E. Harkless,,59-91,,
6:37.0,S. Mykhailiuk enters the game for B. Sensabaugh,,59-91,,
6:37.0,,,59-91,,J. Goodwin enters the game for C. Gillespie
6:37.0,,,59-91,,K. Maluach enters the game for O. Ighodaro
6:28.0,A. Bailey makes 3-pt jump shot from 27 ft (assist by K. Filipowski),+3,62-91,,
6:14.0,,,62-91,,R. O'Neale misses 3-pt jump shot from 24 ft
6:11.0,,,62-91,,Offensive rebound by K. Maluach
6:10.0,,,62-91,,K. Maluach misses 2-pt hook shot from 1 ft
6:10.0,Defensive rebound by B. Mbeng,,62-91,,
5:58.0,S. Mykhailiuk makes 3-pt jump shot from 24 ft (assist by A. Bailey),+3,65-91,,
5:43.0,,,65-91,,Shooting foul by K. Chandler (drawn by D. Booker)
5:43.0,,,65-92,+1,D. Booker makes free throw 1 of 2
5:43.0,,,65-93,+1,D. Booker makes free throw 2 of 2
5:31.0,Personal foul by J. Green (drawn by A. Bailey),,65-93,,
5:31.0,,,65-93,,G. Allen enters the game for R. O'Neale
5:25.0,S. Mykhailiuk makes 3-pt jump shot from 28 ft (assist by K. Filipowski),+3,68-93,,
5:17.0,,,68-96,+3,D. Booker makes 3-pt jump shot from 29 ft
5:08.0,K. Filipowski makes 3-pt jump shot from 27 ft (assist by K. Chandler),+3,71-96,,
4:51.0,,,71-96,,D. Booker misses 3-pt jump shot from 28 ft
4:47.0,Defensive rebound by B. Mbeng,,71-96,,
4:45.0,Turnover by K. Filipowski (lost ball; steal by G. Allen),,71-96,,
4:34.0,,,71-96,,J. Goodwin misses 3-pt jump shot from 23 ft
4:31.0,Defensive rebound by K. Filipowski,,71-96,,
4:30.0,B. Mbeng makes 2-pt layup at rim (assist by K. Filipowski),+2,73-96,,
4:28.0,,,73-96,,Phoenix full timeout
4:28.0,,,73-96,,R. Fleming enters the game for J. Green
4:18.0,,,73-96,,G. Allen misses 2-pt layup from 2 ft
4:15.0,Defensive rebound by K. Filipowski,,73-96,,
4:04.0,Def 3 sec tech foul by Team,,73-96,,
4:04.0,A. Bailey makes technical free throw,+1,74-96,,
3:59.0,Turnover by K. Chandler (bad pass; steal by J. Goodwin),,74-96,,
3:47.0,,,74-98,+2,G. Allen makes 2-pt layup from 1 ft
3:47.0,,,74-98,,Shooting foul by B. Mbeng (drawn by G. Allen)
3:47.0,,,74-99,+1,G. Allen makes free throw 1 of 1
3:29.0,S. Mykhailiuk misses 2-pt layup from 8 ft,,74-99,,
3:28.0,Offensive rebound by S. Mykhailiuk,,74-99,,
3:27.0,S. Mykhailiuk makes 2-pt layup from 1 ft,+2,76-99,,
3:09.0,,,76-99,,G. Allen misses 3-pt jump shot from 28 ft
3:06.0,Defensive rebound by K. Filipowski,,76-99,,
2:56.0,Turnover by B. Mbeng (bad pass),,76-99,,
2:56.0,J. Konchar enters the game for A. Bailey,,76-99,,
2:56.0,O. Tshiebwe enters the game for K. Filipowski,,76-99,,
2:44.0,,,76-99,,Shooting foul by K. Chandler (drawn by D. Booker)
2:44.0,,,76-100,+1,D. Booker makes free throw 1 of 2
2:44.0,,,76-101,+1,D. Booker makes free throw 2 of 2
2:34.0,O. Tshiebwe makes 2-pt dunk from 1 ft (assist by K. Chandler),+2,78-101,,
2:19.0,,,78-103,+2,K. Maluach makes 2-pt layup from 1 ft (assist by D. Booker)
2:04.0,K. Chandler misses 2-pt layup from 4 ft,,78-103,,
2:02.0,,,78-103,,Defensive rebound by K. Maluach
1:54.0,,,78-105,+2,K. Maluach makes 2-pt dunk from 2 ft (assist by D. Booker)
1:38.0,Shooting foul by K. Maluach (drawn by O. Tshiebwe),,78-105,,
1:38.0,O. Tshiebwe misses free throw 1 of 2,,78-105,,
1:38.0,Offensive rebound by Team,,78-105,,
1:38.0,,,78-105,,R. Dunn enters the game for D. Booker
1:38.0,,,78-105,,C. Gillespie enters the game for R. Fleming
1:38.0,,,78-105,,O. Ighodaro enters the game for K. Maluach
1:38.0,O. Tshiebwe makes free throw 2 of 2,+1,79-105,,
1:23.0,,,79-108,+3,J. Goodwin makes 3-pt jump shot from 27 ft (assist by G. Allen)
1:16.0,O. Tshiebwe makes 2-pt layup from 1 ft (assist by K. Chandler),+2,81-108,,
1:04.0,,,81-108,,G. Allen misses 3-pt jump shot from 32 ft
1:02.0,Defensive rebound by O. Tshiebwe,,81-108,,
0:55.0,K. Chandler makes 2-pt jump shot from 12 ft (assist by S. Mykhailiuk),+2,83-108,,
