1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Chicago,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Oklahoma City
1:28.0,Personal foul by L. Dort (drawn by L. Miller),,64-58,,
1:28.0,L. Miller misses free throw 1 of 2,,64-58,,
1:28.0,Offensive rebound by Team,,64-58,,
1:28.0,L. Miller makes free throw 2 of 2,+1,65-58,,
1:08.0,,,65-58,,S. Gilgeous-Alexander misses 3-pt jump shot from 26 ft
1:05.0,,,65-58,,Offensive rebound by J. Williams
1:00.0,,,65-58,,L. Dort misses 2-pt layup from 2 ft
0:59.0,Defensive rebound by T. Jones,,65-58,,
0:55.0,I. Okoro makes 2-pt layup from 1 ft (assist by T. Jones),+2,67-58,,
0:32.0,,,67-60,+2,C. Wallace makes 2-pt layup from 2 ft (assist by S. Gilgeous-Alexander)
0:09.0,M. Buzelis misses 3-pt jump shot from 23 ft,,67-60,,
0:06.0,,,67-60,,Defensive rebound by A. Caruso
0:04.0,,,67-60,,Shooting foul by M. Buzelis (drawn by A. Caruso)
0:04.0,,,67-61,+1,A. Caruso makes free throw 1 of 2
0:04.0,,,67-62,+1,A. Caruso makes free throw 2 of 2
0:00.0,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter
3rd Q,3rd Q,3rd Q,3rd Q,3rd Q,3rd Q
Time,Chicago,,Score,,Oklahoma City
12:00.0,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter
11:48.0,,,67-64,+2,I. Hartenstein makes 2-pt layup from 2 ft (assist by J. Williams)
11:48.0,,,67-64,,Shooting foul by G. Yabusele (drawn by I. Hartenstein)
11:48.0,,,67-65,+1,I. Hartenstein makes free throw 1 of 1
11:23.0,M. Buzelis makes 2-pt jump shot from 5 ft,+2,69-65,,
11:03.0,,,69-65,,S. Gilgeous-Alexander misses 2-pt layup from 2 ft
11:02.0,,,69-65,,Offensive rebound by J. Williams
10:57.0,,,69-65,,J. Williams misses 2-pt layup from 2 ft
10:56.0,,,69-65,,Offensive rebound by I. Hartenstein
10:54.0,,,69-65,,L. Dort misses 3-pt jump shot from 25 ft
10:49.0,Defensive rebound by M. Buzelis,,69-65,,
10:25.0,G. Yabusele misses 2-pt jump shot from 23 ft,,69-65,,
10:22.0,,,69-65,,Defensive rebound by I. Hartenstein
10:11.0,,,69-65,,S. Gilgeous-Alexander misses 2-pt jump shot from 14 ft
10:08.0,,,69-65,,Offensive rebound by I. Hartenstein
10:08.0,,,69-68,+3,C. Wallace makes 3-pt jump shot from 27 ft (assist by I. Hartenstein)
10:07.0,Chicago full timeout,,69-68,,
9:46.0,I. Okoro misses 2-pt layup from 3 ft (block by S. Gilgeous-Alexander),,69-68,,
9:43.0,,,69-68,,Defensive rebound by I. Hartenstein
9:37.0,,,69-68,,S. Gilgeous-Alexander misses 3-pt jump shot from 26 ft
9:33.0,Defensive rebound by M. Buzelis,,69-68,,
9:25.0,T. Jones makes 2-pt jump shot from 4 ft,+2,71-68,,
9:25.0,Shooting foul by S. Gilgeous-Alexander (drawn by T. Jones),,71-68,,
9:25.0,T. Jones makes free throw 1 of 1,+1,72-68,,
9:14.0,,,72-68,,S. Gilgeous-Alexander misses 3-pt jump shot from 23 ft
9:10.0,Defensive rebound by J. Giddey,,72-68,,
9:06.0,Turnover by T. Jones (out of bounds lost ball),,72-68,,
8:57.0,,,72-68,,Turnover by C. Wallace (bad pass; steal by T. Jones)
8:54.0,T. Jones makes 2-pt layup from 2 ft,+2,74-68,,
8:42.0,,,74-68,,C. Wallace misses 2-pt layup from 3 ft (block by T. Jones)
8:42.0,,,74-68,,Offensive rebound by Team
8:29.0,,,74-68,,Turnover by J. Williams (bad pass; steal by G. Yabusele)
8:25.0,Turnover by J. Giddey (bad pass; steal by C. Wallace),,74-68,,
8:17.0,,,74-68,,Shooting foul by G. Yabusele (drawn by S. Gilgeous-Alexander)
8:17.0,,,74-69,+1,S. Gilgeous-Alexander makes free throw 1 of 2
8:17.0,L. Miller enters the game for T. Jones,,74-69,,
8:17.0,C. Sexton enters the game for G. Yabusele,,74-69,,
8:17.0,,,74-70,+1,S. Gilgeous-Alexander makes free throw 2 of 2
8:12.0,M. Buzelis makes 2-pt dunk from 2 ft,+2,76-70,,
8:12.0,,,76-70,,Oklahoma City full timeout
7:58.0,,,76-72,+2,J. Williams makes 2-pt layup from 2 ft
7:58.0,,,76-72,,Shooting foul by L. Miller (drawn by J. Williams)
7:58.0,,,76-72,,J. Williams misses free throw 1 of 1
7:57.0,,,76-72,,Offensive rebound by Team
7:54.0,,,76-72,,I. Hartenstein misses 2-pt layup from 1 ft (block by M. Buzelis)
7:51.0,Defensive rebound by J. Giddey,,76-72,,
7:41.0,Turnover by J. Giddey (lost ball; steal by J. Williams),,76-72,,
7:34.0,,,76-72,,S. Gilgeous-Alexander misses 2-pt jump shot from 14 ft
7:30.0,Defensive rebound by C. Sexton,,76-72,,
7:26.0,C. Sexton makes 3-pt jump shot from 26 ft (assist by J. Giddey),+3,79-72,,
7:10.0,,,79-74,+2,S. Gilgeous-Alexander makes 2-pt layup from 2 ft (assist by J. Williams)
6:50.0,J. Giddey misses 3-pt jump shot from 26 ft,,79-74,,
6:48.0,Offensive rebound by I. Okoro,,79-74,,
6:44.0,L. Miller misses 3-pt jump shot from 23 ft,,79-74,,
6:40.0,,,79-74,,Defensive rebound by I. Hartenstein
6:32.0,,,79-74,,J. Williams misses 2-pt layup from 1 ft
6:31.0,,,79-74,,Offensive rebound by L. Dort
6:27.0,,,79-74,,J. Williams misses 3-pt jump shot from 26 ft
6:26.0,,,79-74,,Offensive rebound by Team
6:26.0,Loose ball foul by L. Miller (drawn by I. Hartenstein),,79-74,,
6:26.0,,,79-74,,A. Mitchell enters the game for J. Williams
6:16.0,,,79-74,,C. Wallace misses 3-pt jump shot from 25 ft
6:13.0,Defensive rebound by L. Miller,,79-74,,
6:02.0,J. Giddey misses 3-pt jump shot from 27 ft,,79-74,,
5:59.0,,,79-74,,Defensive rebound by C. Wallace
5:52.0,,,79-74,,Shooting foul by C. Sexton (drawn by S. Gilgeous-Alexander)
5:52.0,,,79-75,+1,S. Gilgeous-Alexander makes free throw 1 of 2
5:52.0,,,79-75,,A. Caruso enters the game for I. Hartenstein
5:52.0,,,79-75,,J. Williams enters the game for C. Wallace
5:52.0,,,79-76,+1,S. Gilgeous-Alexander makes free throw 2 of 2
5:40.0,J. Giddey misses 3-pt jump shot from 27 ft (block by L. Dort),,79-76,,
5:36.0,Offensive rebound by I. Okoro,,79-76,,
5:35.0,I. Okoro misses 2-pt layup from 2 ft,,79-76,,
5:33.0,,,79-76,,Defensive rebound by J. Williams
5:28.0,,,79-76,,S. Gilgeous-Alexander misses 2-pt jump shot from 2 ft
5:25.0,Defensive rebound by M. Buzelis,,79-76,,
5:15.0,L. Miller misses 2-pt hook shot from 4 ft,,79-76,,
5:13.0,,,79-76,,Defensive rebound by J. Williams
5:08.0,,,79-78,+2,A. Mitchell makes 2-pt layup from 1 ft (assist by S. Gilgeous-Alexander)
4:53.0,L. Miller makes 3-pt jump shot from 24 ft (assist by J. Giddey),+3,82-78,,
4:41.0,,,82-78,,S. Gilgeous-Alexander misses 3-pt jump shot from 25 ft
4:41.0,Defensive rebound by L. Miller,,82-78,,
4:34.0,I. Okoro misses 3-pt jump shot from 24 ft,,82-78,,
4:32.0,Offensive rebound by Team,,82-78,,
4:32.0,T. Jones enters the game for J. Giddey,,82-78,,
4:32.0,G. Yabusele enters the game for L. Miller,,82-78,,
4:23.0,I. Okoro makes 3-pt jump shot from 26 ft (assist by T. Jones),+3,85-78,,
4:08.0,,,85-80,+2,S. Gilgeous-Alexander makes 2-pt jump shot from 14 ft
3:57.0,T. Jones makes 2-pt layup from 2 ft,+2,87-80,,
3:57.0,Shooting foul by J. Williams (drawn by T. Jones),,87-80,,
3:57.0,,,87-80,,J. McCain enters the game for L. Dort
3:57.0,T. Jones makes free throw 1 of 1,+1,88-80,,
3:47.0,,,88-80,,A. Mitchell misses 3-pt jump shot from 25 ft
3:43.0,Defensive rebound by G. Yabusele,,88-80,,
3:38.0,C. Sexton misses 3-pt jump shot from 27 ft,,88-80,,
3:34.0,,,88-80,,Defensive rebound by A. Mitchell
3:25.0,,,88-80,,Oklahoma City full timeout
3:25.0,,,88-80,,Instant Replay (Challenge: Ruling Stands)
3:25.0,,,88-80,,Shooting foul by M. Buzelis (drawn by S. Gilgeous-Alexander)
3:25.0,P. Williams enters the game for M. Buzelis,,88-80,,
3:25.0,,,88-81,+1,S. Gilgeous-Alexander makes free throw 1 of 2
3:25.0,,,88-82,+1,S. Gilgeous-Alexander makes free throw 2 of 2
3:09.0,I. Okoro misses 2-pt layup from 2 ft (block by S. Gilgeous-Alexander),,88-82,,
3:09.0,Offensive rebound by Team,,88-82,,
3:03.0,C. Sexton misses 2-pt jump shot from 9 ft (block by A. Mitchell),,88-82,,
3:01.0,,,88-82,,Defensive rebound by A. Mitchell
2:50.0,,,88-84,+2,A. Mitchell makes 2-pt layup from 1 ft (assist by A. Caruso)
2:35.0,P. Williams misses 3-pt jump shot from 26 ft,,88-84,,
2:32.0,,,88-84,,Defensive rebound by A. Caruso
2:27.0,,,88-84,,A. Mitchell misses 2-pt layup from 4 ft (block by C. Sexton)
2:27.0,,,88-84,,Offensive rebound by Team
2:27.0,,,88-84,,Away from play foul by G. Yabusele (drawn by J. Williams)
2:27.0,,,88-84,,Instant Replay (Request: Ruling Stands)
2:27.0,,,88-85,+1,J. Williams makes free throw 1 of 2
2:27.0,,,88-86,+1,J. Williams makes free throw 2 of 2
2:13.0,I. Okoro misses 3-pt jump shot from 23 ft,,88-86,,
2:09.0,,,88-86,,Defensive rebound by A. Caruso
1:55.0,,,88-86,,J. McCain misses 2-pt layup from 3 ft (block by I. Okoro)
1:53.0,Defensive rebound by P. Williams,,88-86,,
1:45.0,T. Jones misses 2-pt layup from 2 ft,,88-86,,
1:41.0,,,88-86,,Defensive rebound by J. Williams
1:35.0,,,88-89,+3,J. Williams makes 3-pt jump shot from 26 ft (assist by A. Caruso)
1:22.0,C. Sexton misses 2-pt layup from 8 ft,,88-89,,
1:21.0,,,88-89,,Defensive rebound by J. Williams
1:18.0,,,88-91,+2,A. Caruso makes 2-pt layup from 1 ft (assist by S. Gilgeous-Alexander)
1:18.0,,,88-91,,Shooting foul by I. Okoro (drawn by A. Caruso)
1:18.0,Chicago full timeout,,88-91,,
1:18.0,Technical foul by B. Donovan,,88-91,,
1:18.0,,,88-91,,S. Gilgeous-Alexander misses technical free throw
1:18.0,,,88-91,,Offensive rebound by Team
1:18.0,,,88-91,,A. Caruso misses free throw 1 of 1
1:16.0,Defensive rebound by T. Jones,,88-91,,
