1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Brooklyn,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,LA Lakers
12:00.0,Jump ball: N. Claxton vs. D. Ayton (J. LaRavia gains possession),Jump ball: N. Claxton vs. D. Ayton (J. LaRavia gains possession),Jump ball: N. Claxton vs. D. Ayton (J. LaRavia gains possession),Jump ball: N. Claxton vs. D. Ayton (J. LaRavia gains possession),Jump ball: N. Claxton vs. D. Ayton (J. LaRavia gains possession)
3:29.0,Z. Williams misses 2-pt layup from 4 ft,,77-78,,
3:27.0,Offensive rebound by Z. Williams,,77-78,,
3:27.0,Z. Williams makes 2-pt layup from 3 ft,+2,79-78,,
3:27.0,Shooting foul by L. DonÄiÄ (drawn by Z. Williams),,79-78,,
3:27.0,Z. Williams makes free throw 1 of 1,+1,80-78,,
3:06.0,,,80-78,,L. Kennard misses 3-pt jump shot from 27 ft
3:04.0,Defensive rebound by J. Minott,,80-78,,
3:04.0,,,80-78,,Technical foul by L. Kennard
3:04.0,Z. Williams makes technical free throw,+1,81-78,,
3:04.0,T. Mann enters the game for Z. Williams,,81-78,,
2:45.0,B. Saraf misses 2-pt jump shot from 5 ft,,81-78,,
2:43.0,,,81-78,,Defensive rebound by R. Hachimura
2:35.0,,,81-80,+2,L. DonÄiÄ makes 2-pt layup from 3 ft
2:14.0,T. Mann misses 3-pt jump shot from 26 ft,,81-80,,
2:11.0,,,81-80,,Defensive rebound by A. Reaves
2:06.0,,,81-80,,Personal foul by B. Saraf (drawn by A. Reaves)
2:06.0,,,81-81,+1,A. Reaves makes free throw 1 of 2
2:06.0,,,81-81,,L. James enters the game for R. Hachimura
2:06.0,,,81-82,+1,A. Reaves makes free throw 2 of 2
1:52.0,Offensive foul by C. Johnson (drawn by A. Reaves),,81-82,,
1:52.0,Turnover by C. Johnson (offensive foul),,81-82,,
1:52.0,,,81-82,,R. Hachimura enters the game for A. Reaves
1:39.0,,,81-82,,L. DonÄiÄ misses 2-pt jump shot from 10 ft
1:35.0,,,81-82,,Offensive rebound by J. Hayes
